run_id,level_name,nominal_value,back_calculated,percent_deviation,included,units
R017,STD-6,150.0,152.69,1.79,1,ng/mL
R017,STD-7,350.0,328.41,-6.17,1,ng/mL
R017,STD-8,500.0,487.93,-2.41,1,ng/mL
R018,STD-1,1.0,1.0458,4.58,1,ng/mL
R018,STD-2,2.0,1.9979,-0.1,1,ng/mL
R018,STD-3,5.0,5.0435,0.87,1,ng/mL
R018,STD-4,20.0,20.06,0.29,1,ng/mL
R018,STD-5,50.0,50.86,1.72,1,ng/mL
R018,STD-6,150.0,151.45,0.97,1,ng/mL
R018,STD-7,350.0,349.68,-0.09,1,ng/mL
R018,STD-8,500.0,485.95,-2.81,1,ng/mL
