calibration_id,level_name,nominal_value,back_calculated,percent_deviation,included
CAL-R00006,STD6,103.0726,99.4249,-3.539,1
CAL-R00006,STD7,226.7598,219.5792,-3.167,1
CAL-R00006,STD8,498.8716,493.6083,-1.055,1
CAL-R00007,STD1,1.0,0.943,-5.7,1
CAL-R00007,STD2,2.2,2.2297,1.348,1
CAL-R00007,STD3,4.84,4.8836,0.901,1
CAL-R00007,STD4,10.648,11.1911,5.1,1
CAL-R00007,STD5,23.4256,23.8626,1.866,1
CAL-R00007,STD6,51.5363,49.4406,-4.066,1
CAL-R00007,STD7,113.3799,114.8775,1.321,1
CAL-R00007,STD8,249.4358,258.1073,3.476,1
CAL-R00008,STD1,0.5,0.4978,-0.446,1
CAL-R00008,STD2,1.1,1.1236,2.144,1
CAL-R00008,STD3,2.42,2.3051,-4.747,1
CAL-R00008,STD4,5.324,5.3209,-0.059,1
CAL-R00008,STD5,11.7128,11.3784,-2.855,1
CAL-R00008,STD6,25.7682,24.4108,-5.268,1
CAL-R00008,STD7,56.69,55.2088,-2.613,1
CAL-R00008,STD8,124.7179,121.9349,-2.231,1
CAL-R00009,STD1,2.0,1.9963,-0.186,1
CAL-R00009,STD2,4.4,4.219,-4.113,1
CAL-R00009,STD3,9.68,10.1072,4.413,1
CAL-R00009,STD4,21.296,20.2618,-4.856,1
CAL-R00009,STD5,46.8512,47.26,0.873,1
CAL-R00009,STD6,103.0726,100.7461,-2.257,1
CAL-R00009,STD7,226.7598,226.6658,-0.041,1
CAL-R00009,STD8,498.8716,499.4171,0.109,1
CAL-R00010,STD1,1.0,1.0244,2.439,1
CAL-R00010,STD2,2.2,2.1747,-1.148,1
CAL-R00010,STD3,4.84,5.0394,4.12,1
CAL-R00010,STD4,10.648,10.9446,2.786,1
CAL-R00010,STD5,23.4256,23.299,-0.541,1
CAL-R00010,STD6,51.5363,50.8813,-1.271,1
CAL-R00010,STD7,113.3799,113.9674,0.518,1
CAL-R00010,STD8,249.4358,232.2693,-6.882,1
CAL-R00011,STD1,0.5,0.5078,1.553,1
CAL-R00011,STD2,1.1,1.1045,0.412,1
CAL-R00011,STD3,2.42,2.542,5.042,1
CAL-R00011,STD4,5.324,5.1491,-3.285,1
CAL-R00011,STD5,11.7128,12.0532,2.906,1
CAL-R00011,STD6,25.7682,26.8211,4.086,1
CAL-R00011,STD7,56.69,54.1596,-4.464,1
CAL-R00011,STD8,124.7179,128.0464,2.669,1
CAL-R00012,STD1,2.0,2.0054,0.269,1
CAL-R00012,STD2,4.4,4.2613,-3.153,1
CAL-R00012,STD3,9.68,9.9086,2.362,1
CAL-R00012,STD4,21.296,21.4402,0.677,1
CAL-R00012,STD5,46.8512,49.1191,4.841,1
CAL-R00012,STD6,103.0726,101.4075,-1.616,1
CAL-R00012,STD7,226.7598,233.1402,2.814,1
CAL-R00012,STD8,498.8716,507.1858,1.667,1
CAL-R00013,STD1,1.0,1.0015,0.149,1
CAL-R00013,STD2,2.2,2.0791,-5.495,1
CAL-R00013,STD3,4.84,4.6914,-3.07,1
CAL-R00013,STD4,10.648,10.5364,-1.048,1
CAL-R00013,STD5,23.4256,22.6044,-3.506,1
CAL-R00013,STD6,51.5363,51.5866,0.098,1
CAL-R00013,STD7,113.3799,114.778,1.233,1
CAL-R00013,STD8,249.4358,249.8154,0.152,1
CAL-R00014,STD1,0.5,0.4766,-4.684,1
CAL-R00014,STD2,1.1,1.1075,0.678,1
CAL-R00014,STD3,2.42,2.5159,3.962,1
CAL-R00014,STD4,5.324,5.4376,2.133,1
CAL-R00014,STD5,11.7128,11.766,0.454,1
CAL-R00014,STD6,25.7682,25.2872,-1.866,1
CAL-R00014,STD7,56.69,55.9417,-1.32,1
CAL-R00014,STD8,124.7179,129.4112,3.763,1
CAL-R00015,STD1,2.0,1.9896,-0.519,1
CAL-R00015,STD2,4.4,4.5175,2.67,1
CAL-R00015,STD3,9.68,10.2187,5.565,1
CAL-R00015,STD4,21.296,21.4937,0.928,1
CAL-R00015,STD5,46.8512,46.3733,-1.02,1
CAL-R00015,STD6,103.0726,107.5067,4.302,1
CAL-R00015,STD7,226.7598,211.2847,-6.824,1
CAL-R00015,STD8,498.8716,488.5824,-2.062,1
CAL-R00016,STD1,1.0,1.0161,1.609,1
CAL-R00016,STD2,2.2,2.2111,0.503,1
CAL-R00016,STD3,4.84,4.7517,-1.823,1
CAL-R00016,STD4,10.648,10.1187,-4.971,1
CAL-R00016,STD5,23.4256,23.8746,1.917,1
CAL-R00016,STD6,51.5363,49.4074,-4.131,1
CAL-R00016,STD7,113.3799,112.7888,-0.521,1
CAL-R00016,STD8,249.4358,252.2152,1.114,1
CAL-R00017,STD1,0.5,0.5,0.004,1
CAL-R00017,STD2,1.1,1.1252,2.293,1
CAL-R00017,STD3,2.42,2.3295,-3.74,1
CAL-R00017,STD4,5.324,5.37,0.863,1
CAL-R00017,STD5,11.7128,12.1019,3.322,1
CAL-R00017,STD6,25.7682,25.363,-1.572,1
CAL-R00017,STD7,56.69,58.3572,2.941,1
CAL-R00017,STD8,124.7179,129.1904,3.586,1
CAL-R00018,STD1,2.0,2.0575,2.873,1
CAL-R00018,STD2,4.4,4.48,1.819,1
CAL-R00018,STD3,9.68,9.6721,-0.081,1
CAL-R00018,STD4,21.296,21.8484,2.594,1
CAL-R00018,STD5,46.8512,44.7476,-4.49,1
CAL-R00018,STD6,103.0726,103.2361,0.159,1
CAL-R00018,STD7,226.7598,233.7035,3.062,1
CAL-R00018,STD8,498.8716,515.1102,3.255,1
CAL-R00019,STD1,1.0,1.0176,1.762,1
CAL-R00019,STD2,2.2,2.0747,-5.697,1
CAL-R00019,STD3,4.84,5.0786,4.929,1
CAL-R00019,STD4,10.648,10.6199,-0.264,1
CAL-R00019,STD5,23.4256,23.187,-1.018,1
CAL-R00019,STD6,51.5363,50.2585,-2.479,1
CAL-R00019,STD7,113.3799,114.7624,1.219,1
CAL-R00019,STD8,249.4358,256.8537,2.974,1
CAL-R00020,STD1,0.5,0.4932,-1.366,1
CAL-R00020,STD2,1.1,1.1511,4.642,1
CAL-R00020,STD3,2.42,2.3617,-2.411,1
CAL-R00020,STD4,5.324,5.4248,1.893,1
CAL-R00020,STD5,11.7128,11.8105,0.834,1
CAL-R00020,STD6,25.7682,25.2211,-2.123,1
CAL-R00020,STD7,56.69,57.2122,0.921,1
CAL-R00020,STD8,124.7179,125.5104,0.635,1
CAL-R00021,STD1,2.0,1.9951,-0.243,1
CAL-R00021,STD2,4.4,4.2686,-2.986,1
CAL-R00021,STD3,9.68,10.3631,7.056,1
CAL-R00021,STD4,21.296,21.6716,1.764,1
CAL-R00021,STD5,46.8512,47.9339,2.311,1
CAL-R00021,STD6,103.0726,109.5323,6.267,1
CAL-R00021,STD7,226.7598,218.039,-3.846,1
CAL-R00021,STD8,498.8716,493.9126,-0.994,1
CAL-R00022,STD1,1.0,1.0115,1.151,1
CAL-R00022,STD2,2.2,2.1899,-0.46,1
CAL-R00022,STD3,4.84,4.9171,1.592,1
CAL-R00022,STD4,10.648,10.6163,-0.297,1
CAL-R00022,STD5,23.4256,22.7483,-2.891,1
CAL-R00022,STD6,51.5363,51.5268,-0.018,1
CAL-R00022,STD7,113.3799,110.0838,-2.907,1
CAL-R00022,STD8,249.4358,241.7648,-3.075,1
CAL-R00023,STD1,0.5,0.511,2.191,1
CAL-R00023,STD2,1.1,1.1123,1.117,1
CAL-R00023,STD3,2.42,2.4292,0.38,1
CAL-R00023,STD4,5.324,5.2119,-2.106,1
CAL-R00023,STD5,11.7128,11.7565,0.373,1
CAL-R00023,STD6,25.7682,25.9205,0.591,1
CAL-R00023,STD7,56.69,56.3139,-0.663,1
CAL-R00023,STD8,124.7179,127.2408,2.023,1
CAL-R00024,STD1,2.0,2.067,3.348,1
CAL-R00024,STD2,4.4,4.1915,-4.739,1
CAL-R00024,STD3,9.68,9.471,-2.159,1
CAL-R00024,STD4,21.296,22.1658,4.085,1
CAL-R00024,STD5,46.8512,43.8294,-6.45,1
CAL-R00024,STD6,103.0726,102.195,-0.851,1
CAL-R00024,STD7,226.7598,229.5183,1.216,1
CAL-R00024,STD8,498.8716,497.1327,-0.349,1
CAL-R00025,STD1,1.0,1.0266,2.664,1
CAL-R00025,STD2,2.2,2.1785,-0.978,1
CAL-R00025,STD3,4.84,4.9757,2.803,1
CAL-R00025,STD4,10.648,11.0839,4.094,1
CAL-R00025,STD5,23.4256,23.16,-1.134,1
CAL-R00025,STD6,51.5363,50.7719,-1.483,1
CAL-R00025,STD7,113.3799,112.9457,-0.383,1
CAL-R00025,STD8,249.4358,246.5714,-1.148,1
CAL-R00026,STD1,0.5,0.5136,2.725,1
CAL-R00026,STD2,1.1,1.1559,5.079,1
CAL-R00026,STD3,2.42,2.4835,2.624,1
CAL-R00026,STD4,5.324,5.4355,2.094,1
CAL-R00026,STD5,11.7128,12.3744,5.649,1
CAL-R00026,STD6,25.7682,26.4986,2.835,1
CAL-R00026,STD7,56.69,56.4062,-0.501,1
CAL-R00026,STD8,124.7179,125.9692,1.003,1
CAL-R00027,STD1,2.0,2.026,1.301,1
CAL-R00027,STD2,4.4,4.1967,-4.62,1
CAL-R00027,STD3,9.68,9.7167,0.379,1
CAL-R00027,STD4,21.296,20.7309,-2.654,1
CAL-R00027,STD5,46.8512,46.5947,-0.547,1
CAL-R00027,STD6,103.0726,98.26,-4.669,1
CAL-R00027,STD7,226.7598,213.381,-5.9,1
CAL-R00027,STD8,498.8716,496.7466,-0.426,1
CAL-R00028,STD1,1.0,0.9652,-3.475,1
CAL-R00028,STD2,2.2,2.2726,3.3,1
CAL-R00028,STD3,4.84,4.7202,-2.475,1
CAL-R00028,STD4,10.648,10.5269,-1.137,1
CAL-R00028,STD5,23.4256,23.4557,0.129,1
CAL-R00028,STD6,51.5363,51.4182,-0.229,1
CAL-R00028,STD7,113.3799,113.9514,0.504,1
CAL-R00028,STD8,249.4358,235.2775,-5.676,1
CAL-R00029,STD1,0.5,0.4952,-0.969,1
CAL-R00029,STD2,1.1,1.1342,3.106,1
CAL-R00029,STD3,2.42,2.4064,-0.563,1
CAL-R00029,STD4,5.324,5.532,3.906,1
CAL-R00029,STD5,11.7128,11.6838,-0.248,1
CAL-R00029,STD6,25.7682,26.8763,4.3,1
CAL-R00029,STD7,56.69,57.4273,1.301,1
CAL-R00029,STD8,124.7179,126.1757,1.169,1
CAL-R00030,STD1,2.0,1.8409,-7.955,1
CAL-R00030,STD2,4.4,4.6943,6.689,1
CAL-R00030,STD3,9.68,9.4718,-2.151,1
CAL-R00030,STD4,21.296,21.8737,2.713,1
CAL-R00030,STD5,46.8512,45.9664,-1.889,1
CAL-R00030,STD6,103.0726,109.4966,6.232,1
CAL-R00030,STD7,226.7598,224.0561,-1.192,1
CAL-R00030,STD8,498.8716,499.7854,0.183,1
CAL-R00031,STD1,1.0,1.0081,0.808,1
CAL-R00031,STD2,2.2,2.1939,-0.276,1
CAL-R00031,STD3,4.84,4.9229,1.712,1
CAL-R00031,STD4,10.648,11.1353,4.577,1
CAL-R00031,STD5,23.4256,23.3195,-0.453,1
CAL-R00031,STD6,51.5363,53.2286,3.284,1
CAL-R00031,STD7,113.3799,107.3847,-5.288,1
CAL-R00031,STD8,249.4358,259.7479,4.134,1
CAL-R00032,STD1,0.5,0.5135,2.705,1
CAL-R00032,STD2,1.1,1.0854,-1.323,1
CAL-R00032,STD3,2.42,2.3174,-4.238,1
CAL-R00032,STD4,5.324,5.1417,-3.424,1
CAL-R00032,STD5,11.7128,11.5205,-1.642,1
CAL-R00032,STD6,25.7682,26.2642,1.925,1
CAL-R00032,STD7,56.69,57.501,1.431,1
CAL-R00032,STD8,124.7179,121.4576,-2.614,1
CAL-R00033,STD1,2.0,2.0133,0.664,1
CAL-R00033,STD2,4.4,4.4456,1.037,1
CAL-R00033,STD3,9.68,9.9668,2.963,1
CAL-R00033,STD4,21.296,21.4675,0.805,1
CAL-R00033,STD5,46.8512,44.6903,-4.612,1
CAL-R00033,STD6,103.0726,105.2446,2.107,1
CAL-R00033,STD7,226.7598,219.3164,-3.283,1
CAL-R00033,STD8,498.8716,494.9137,-0.793,1
CAL-R00034,STD1,1.0,0.9951,-0.495,1
CAL-R00034,STD2,2.2,2.1715,-1.294,1
CAL-R00034,STD3,4.84,4.7338,-2.194,1
CAL-R00034,STD4,10.648,10.1561,-4.62,1
CAL-R00034,STD5,23.4256,23.4743,0.208,1
CAL-R00034,STD6,51.5363,50.9965,-1.048,1
CAL-R00034,STD7,113.3799,117.506,3.639,1
CAL-R00034,STD8,249.4358,241.6508,-3.121,1
CAL-R00035,STD1,0.5,0.4784,-4.328,1
CAL-R00035,STD2,1.1,1.073,-2.451,1
CAL-R00035,STD3,2.42,2.3547,-2.7,1
CAL-R00035,STD4,5.324,5.5403,4.063,1
CAL-R00035,STD5,11.7128,11.3079,-3.457,1
CAL-R00035,STD6,25.7682,25.905,0.531,1
CAL-R00035,STD7,56.69,54.7172,-3.48,1
CAL-R00035,STD8,124.7179,122.7755,-1.557,1
CAL-R00036,STD1,2.0,2.0093,0.466,1
CAL-R00036,STD2,4.4,4.5796,4.083,1
CAL-R00036,STD3,9.68,9.8776,2.041,1
CAL-R00036,STD4,21.296,20.6202,-3.173,1
CAL-R00036,STD5,46.8512,45.7855,-2.275,1
CAL-R00036,STD6,103.0726,101.479,-1.546,1
CAL-R00036,STD7,226.7598,229.465,1.193,1
CAL-R00036,STD8,498.8716,504.319,1.092,1
CAL-R00037,STD1,1.0,1.0244,2.443,1
CAL-R00037,STD2,2.2,2.3352,6.146,1
CAL-R00037,STD3,4.84,5.0125,3.564,1
CAL-R00037,STD4,10.648,10.3856,-2.464,1
CAL-R00037,STD5,23.4256,22.9522,-2.021,1
CAL-R00037,STD6,51.5363,50.3574,-2.288,1
CAL-R00037,STD7,113.3799,110.1943,-2.81,1
CAL-R00037,STD8,249.4358,258.1873,3.509,1
CAL-R00038,STD1,0.5,0.4784,-4.322,1
CAL-R00038,STD2,1.1,1.0911,-0.808,1
CAL-R00038,STD3,2.42,2.419,-0.04,1
CAL-R00038,STD4,5.324,5.1168,-3.891,1
CAL-R00038,STD5,11.7128,11.7591,0.395,1
CAL-R00038,STD6,25.7682,25.9251,0.609,1
CAL-R00038,STD7,56.69,58.3781,2.978,1
CAL-R00038,STD8,124.7179,127.4873,2.221,1
CAL-R00039,STD1,2.0,2.1146,5.729,1
CAL-R00039,STD2,4.4,4.5313,2.985,1
CAL-R00039,STD3,9.68,9.9516,2.806,1
CAL-R00039,STD4,21.296,22.047,3.526,1
CAL-R00039,STD5,46.8512,46.4732,-0.807,1
CAL-R00039,STD6,103.0726,105.2809,2.142,1
CAL-R00039,STD7,226.7598,232.5495,2.553,1
CAL-R00039,STD8,498.8716,504.1098,1.05,1
CAL-R00040,STD1,1.0,0.9693,-3.069,1
CAL-R00040,STD2,2.2,2.2325,1.477,1
CAL-R00040,STD3,4.84,4.7547,-1.763,1
CAL-R00040,STD4,10.648,10.5419,-0.996,1
CAL-R00040,STD5,23.4256,24.1547,3.113,1
CAL-R00040,STD6,51.5363,53.5159,3.841,1
CAL-R00040,STD7,113.3799,113.3874,0.007,1
CAL-R00040,STD8,249.4358,249.8177,0.153,1
CAL-R00041,STD1,0.5,0.4913,-1.748,1
CAL-R00041,STD2,1.1,1.0496,-4.581,1
CAL-R00041,STD3,2.42,2.4493,1.212,1
CAL-R00041,STD4,5.324,5.5578,4.391,1
CAL-R00041,STD5,11.7128,12.195,4.117,1
CAL-R00041,STD6,25.7682,25.5129,-0.991,1
CAL-R00041,STD7,56.69,56.2277,-0.815,1
CAL-R00041,STD8,124.7179,121.2101,-2.813,1
CAL-R00042,STD1,2.0,2.1674,8.372,1
CAL-R00042,STD2,4.4,4.4176,0.401,1
CAL-R00042,STD3,9.68,9.0807,-6.191,1
CAL-R00042,STD4,21.296,21.3837,0.412,1
CAL-R00042,STD5,46.8512,46.5588,-0.624,1
CAL-R00042,STD6,103.0726,98.4371,-4.497,1
CAL-R00042,STD7,226.7598,223.9468,-1.241,1
CAL-R00042,STD8,498.8716,520.1434,4.264,1
CAL-R00043,STD1,1.0,1.0427,4.272,1
CAL-R00043,STD2,2.2,2.2583,2.649,1
CAL-R00043,STD3,4.84,5.0585,4.514,1
CAL-R00043,STD4,10.648,10.4394,-1.959,1
CAL-R00043,STD5,23.4256,23.3297,-0.409,1
CAL-R00043,STD6,51.5363,53.2877,3.398,1
CAL-R00043,STD7,113.3799,112.0838,-1.143,1
CAL-R00043,STD8,249.4358,249.2229,-0.085,1
CAL-R00044,STD1,0.5,0.522,4.39,1
CAL-R00044,STD2,1.1,1.1317,2.879,1
CAL-R00044,STD3,2.42,2.4494,1.215,1
CAL-R00044,STD4,5.324,5.0577,-5.001,1
CAL-R00044,STD5,11.7128,12.0123,2.557,1
CAL-R00044,STD6,25.7682,25.2363,-2.064,1
CAL-R00044,STD7,56.69,58.951,3.988,1
CAL-R00044,STD8,124.7179,131.2093,5.205,1
CAL-R00045,STD1,2.0,2.0143,0.714,1
CAL-R00045,STD2,4.4,4.412,0.273,1
CAL-R00045,STD3,9.68,9.7029,0.237,1
CAL-R00045,STD4,21.296,22.68,6.499,1
CAL-R00045,STD5,46.8512,48.2357,2.955,1
CAL-R00045,STD6,103.0726,105.0355,1.904,1
CAL-R00045,STD7,226.7598,235.7017,3.943,1
CAL-R00045,STD8,498.8716,492.2537,-1.327,1
CAL-R00046,STD1,1.0,1.0039,0.393,1
CAL-R00046,STD2,2.2,2.2023,0.104,1
CAL-R00046,STD3,4.84,4.9881,3.059,1
CAL-R00046,STD4,10.648,10.8053,1.478,1
CAL-R00046,STD5,23.4256,23.2321,-0.826,1
CAL-R00046,STD6,51.5363,52.766,2.386,1
CAL-R00046,STD7,113.3799,120.012,5.849,1
CAL-R00046,STD8,249.4358,251.5098,0.831,1
CAL-R00047,STD1,0.5,0.4856,-2.889,1
CAL-R00047,STD2,1.1,1.1694,6.308,1
CAL-R00047,STD3,2.42,2.3483,-2.961,1
CAL-R00047,STD4,5.324,5.3337,0.182,1
CAL-R00047,STD5,11.7128,11.2785,-3.708,1
CAL-R00047,STD6,25.7682,25.9532,0.718,1
CAL-R00047,STD7,56.69,56.7431,0.094,1
CAL-R00047,STD8,124.7179,122.3027,-1.936,1
CAL-R00048,STD1,2.0,2.0529,2.644,1
CAL-R00048,STD2,4.4,4.179,-5.023,1
CAL-R00048,STD3,9.68,9.5839,-0.993,1
CAL-R00048,STD4,21.296,20.9994,-1.393,1
CAL-R00048,STD5,46.8512,49.237,5.092,1
CAL-R00048,STD6,103.0726,104.3088,1.199,1
CAL-R00048,STD7,226.7598,229.5425,1.227,1
CAL-R00048,STD8,498.8716,471.9103,-5.404,1
CAL-R00049,STD1,1.0,0.9749,-2.512,1
CAL-R00049,STD2,2.2,2.1854,-0.663,1
CAL-R00049,STD3,4.84,5.0647,4.642,1
CAL-R00049,STD4,10.648,10.5537,-0.886,1
CAL-R00049,STD5,23.4256,23.799,1.594,1
CAL-R00049,STD6,51.5363,48.9611,-4.997,1
CAL-R00049,STD7,113.3799,116.6391,2.875,1
CAL-R00049,STD8,249.4358,247.5181,-0.769,1
CAL-R00050,STD1,0.5,0.5217,4.336,1
CAL-R00050,STD2,1.1,1.0955,-0.407,1
CAL-R00050,STD3,2.42,2.5109,3.755,1
CAL-R00050,STD4,5.324,5.4455,2.283,1
CAL-R00050,STD5,11.7128,11.8971,1.574,1
CAL-R00050,STD6,25.7682,25.9975,0.89,1
CAL-R00050,STD7,56.69,55.7149,-1.72,1
CAL-R00050,STD8,124.7179,121.8708,-2.283,1
CAL-R00051,STD1,2.0,2.0591,2.954,1
CAL-R00051,STD2,4.4,4.5461,3.321,1
CAL-R00051,STD3,9.68,9.66,-0.207,1
CAL-R00051,STD4,21.296,21.5804,1.335,1
CAL-R00051,STD5,46.8512,44.6652,-4.666,1
CAL-R00051,STD6,103.0726,96.7998,-6.086,1
CAL-R00051,STD7,226.7598,233.976,3.182,1
CAL-R00051,STD8,498.8716,471.7348,-5.44,1
CAL-R00052,STD1,1.0,0.9713,-2.869,1
CAL-R00052,STD2,2.2,2.2393,1.788,1
CAL-R00052,STD3,4.84,4.6547,-3.828,1
CAL-R00052,STD4,10.648,11.4219,7.268,1
CAL-R00052,STD5,23.4256,23.7816,1.52,1
CAL-R00052,STD6,51.5363,50.6468,-1.726,1
CAL-R00052,STD7,113.3799,112.8552,-0.463,1
CAL-R00052,STD8,249.4358,233.997,-6.189,1
CAL-R00053,STD1,0.5,0.5175,3.491,1
CAL-R00053,STD2,1.1,1.0607,-3.573,1
CAL-R00053,STD3,2.42,2.37,-2.068,1
CAL-R00053,STD4,5.324,5.0406,-5.323,1
CAL-R00053,STD5,11.7128,11.6114,-0.865,1
CAL-R00053,STD6,25.7682,25.008,-2.95,1
CAL-R00053,STD7,56.69,60.9941,7.592,1
CAL-R00053,STD8,124.7179,128.7405,3.225,1
CAL-R00054,STD1,2.0,1.9677,-1.616,1
CAL-R00054,STD2,4.4,4.4685,1.558,1
CAL-R00054,STD3,9.68,9.9453,2.741,1
CAL-R00054,STD4,21.296,21.1317,-0.772,1
CAL-R00054,STD5,46.8512,49.1001,4.8,1
CAL-R00054,STD6,103.0726,105.7741,2.621,1
CAL-R00054,STD7,226.7598,218.7581,-3.529,1
CAL-R00054,STD8,498.8716,530.2082,6.281,1
CAL-R00055,STD1,1.0,0.9631,-3.691,1
CAL-R00055,STD2,2.2,2.1285,-3.25,1
CAL-R00055,STD3,4.84,4.568,-5.62,1
CAL-R00055,STD4,10.648,10.1191,-4.967,1
CAL-R00055,STD5,23.4256,23.7705,1.472,1
CAL-R00055,STD6,51.5363,53.409,3.634,1
CAL-R00055,STD7,113.3799,116.2773,2.555,1
CAL-R00055,STD8,249.4358,230.0411,-7.775,1
CAL-R00056,STD1,0.5,0.4744,-5.114,1
CAL-R00056,STD2,1.1,1.1275,2.497,1
CAL-R00056,STD3,2.42,2.3987,-0.88,1
CAL-R00056,STD4,5.324,5.1386,-3.482,1
CAL-R00056,STD5,11.7128,11.0744,-5.45,1
CAL-R00056,STD6,25.7682,26.4299,2.568,1
CAL-R00056,STD7,56.69,57.6519,1.697,1
CAL-R00056,STD8,124.7179,124.981,0.211,1
CAL-R00057,STD1,2.0,1.9287,-3.566,1
CAL-R00057,STD2,4.4,4.5828,4.155,1
CAL-R00057,STD3,9.68,9.6267,-0.55,1
CAL-R00057,STD4,21.296,21.7829,2.287,1
CAL-R00057,STD5,46.8512,48.3782,3.259,1
CAL-R00057,STD6,103.0726,102.0274,-1.014,1
CAL-R00057,STD7,226.7598,220.8357,-2.613,1
CAL-R00057,STD8,498.8716,496.0229,-0.571,1
CAL-R00058,STD1,1.0,1.0417,4.172,1
CAL-R00058,STD2,2.2,2.2151,0.688,1
CAL-R00058,STD3,4.84,5.0252,3.826,1
CAL-R00058,STD4,10.648,11.1172,4.407,1
CAL-R00058,STD5,23.4256,23.0536,-1.588,1
CAL-R00058,STD6,51.5363,51.3258,-0.408,1
CAL-R00058,STD7,113.3799,116.8262,3.04,1
CAL-R00058,STD8,249.4358,259.3772,3.986,1
CAL-R00059,STD1,0.5,0.4839,-3.216,1
CAL-R00059,STD2,1.1,1.0848,-1.378,1
CAL-R00059,STD3,2.42,2.4527,1.351,1
CAL-R00059,STD4,5.324,5.2134,-2.077,1
CAL-R00059,STD5,11.7128,11.7575,0.382,1
CAL-R00059,STD6,25.7682,25.9788,0.817,1
CAL-R00059,STD7,56.69,53.9093,-4.905,1
CAL-R00059,STD8,124.7179,123.5874,-0.906,1
CAL-R00060,STD1,2.0,2.0748,3.741,1
CAL-R00060,STD2,4.4,4.5575,3.579,1
CAL-R00060,STD3,9.68,9.6835,0.036,1
CAL-R00060,STD4,21.296,21.278,-0.085,1
CAL-R00060,STD5,46.8512,45.7686,-2.311,1
CAL-R00060,STD6,103.0726,106.1456,2.981,1
CAL-R00060,STD7,226.7598,224.6946,-0.911,1
CAL-R00060,STD8,498.8716,500.0069,0.228,1
CAL-R00061,STD1,1.0,1.0457,4.573,1
CAL-R00061,STD2,2.2,2.1902,-0.446,1
CAL-R00061,STD3,4.84,4.8067,-0.687,1
CAL-R00061,STD4,10.648,10.7449,0.91,1
CAL-R00061,STD5,23.4256,23.4045,-0.09,1
CAL-R00061,STD6,51.5363,47.3481,-8.127,1
CAL-R00061,STD7,113.3799,114.0379,0.58,1
CAL-R00061,STD8,249.4358,233.7851,-6.274,1
CAL-R00062,STD1,0.5,0.5044,0.878,1
CAL-R00062,STD2,1.1,1.1142,1.289,1
CAL-R00062,STD3,2.42,2.5113,3.772,1
CAL-R00062,STD4,5.324,5.2232,-1.893,1
CAL-R00062,STD5,11.7128,11.6507,-0.53,1
CAL-R00062,STD6,25.7682,27.2909,5.909,1
CAL-R00062,STD7,56.69,55.068,-2.861,1
CAL-R00062,STD8,124.7179,125.9447,0.984,1
CAL-R00063,STD1,2.0,2.0937,4.684,1
CAL-R00063,STD2,4.4,4.2786,-2.758,1
CAL-R00063,STD3,9.68,9.5568,-1.272,1
CAL-R00063,STD4,21.296,21.7195,1.989,1
CAL-R00063,STD5,46.8512,48.5773,3.684,1
