run_id,material_id,role
R00169,REF-ASSAY_A-01,reference_standard
R00170,REF-ASSAY_B-01,reference_standard
R00171,REF-ASSAY_C-01,reference_standard
R00172,REF-ASSAY_A-01,reference_standard
R00173,REF-ASSAY_B-01,reference_standard
R00174,REF-ASSAY_C-01,reference_standard
R00175,REF-ASSAY_A-01,reference_standard
R00176,REF-ASSAY_B-01,reference_standard
R00177,REF-ASSAY_C-01,reference_standard
R00178,REF-ASSAY_A-01,reference_standard
R00179,REF-ASSAY_B-01,reference_standard
R00180,REF-ASSAY_C-01,reference_standard
R00181,REF-ASSAY_A-01,reference_standard
R00182,REF-ASSAY_B-01,reference_standard
R00183,REF-ASSAY_C-01,reference_standard
R00184,REF-ASSAY_A-01,reference_standard
R00185,REF-ASSAY_B-01,reference_standard
R00186,REF-ASSAY_C-01,reference_standard
R00187,REF-ASSAY_A-02,reference_standard
R00188,REF-ASSAY_B-02,reference_standard
R00189,REF-ASSAY_C-02,reference_standard
R00190,REF-ASSAY_A-02,reference_standard
R00191,REF-ASSAY_B-02,reference_standard
R00192,REF-ASSAY_C-02,reference_standard
R00193,REF-ASSAY_A-02,reference_standard
R00194,REF-ASSAY_B-02,reference_standard
R00195,REF-ASSAY_C-02,reference_standard
R00196,REF-ASSAY_A-02,reference_standard
R00197,REF-ASSAY_B-02,reference_standard
R00198,REF-ASSAY_C-02,reference_standard
R00199,REF-ASSAY_A-02,reference_standard
R00200,REF-ASSAY_B-02,reference_standard
R00201,REF-ASSAY_C-02,reference_standard
R00202,REF-ASSAY_A-02,reference_standard
R00203,REF-ASSAY_B-02,reference_standard
R00204,REF-ASSAY_C-02,reference_standard
R00205,REF-ASSAY_A-02,reference_standard
R00206,REF-ASSAY_B-02,reference_standard
R00207,REF-ASSAY_C-02,reference_standard
R00208,REF-ASSAY_A-02,reference_standard
R00209,REF-ASSAY_B-02,reference_standard
R00210,REF-ASSAY_C-02,reference_standard
R00211,REF-ASSAY_A-02,reference_standard
R00212,REF-ASSAY_B-02,reference_standard
R00213,REF-ASSAY_C-02,reference_standard
R00214,REF-ASSAY_A-02,reference_standard
R00215,REF-ASSAY_B-02,reference_standard
R00216,REF-ASSAY_C-02,reference_standard
R00217,REF-ASSAY_A-02,reference_standard
R00218,REF-ASSAY_B-02,reference_standard
R00219,REF-ASSAY_C-02,reference_standard
R00220,REF-ASSAY_A-02,reference_standard
R00221,REF-ASSAY_B-02,reference_standard
R00222,REF-ASSAY_C-02,reference_standard
R00223,REF-ASSAY_A-02,reference_standard
R00224,REF-ASSAY_B-02,reference_standard
R00225,REF-ASSAY_C-02,reference_standard
R00226,REF-ASSAY_A-02,reference_standard
R00227,REF-ASSAY_B-02,reference_standard
R00228,REF-ASSAY_C-02,reference_standard
R00229,REF-ASSAY_A-02,reference_standard
R00230,REF-ASSAY_B-02,reference_standard
R00231,REF-ASSAY_C-02,reference_standard
R00232,REF-ASSAY_A-02,reference_standard
R00233,REF-ASSAY_B-02,reference_standard
R00234,REF-ASSAY_C-02,reference_standard
R00235,REF-ASSAY_A-02,reference_standard
R00236,REF-ASSAY_B-02,reference_standard
R00237,REF-ASSAY_C-02,reference_standard
R00238,REF-ASSAY_A-02,reference_standard
R00239,REF-ASSAY_B-02,reference_standard
R00240,REF-ASSAY_C-02,reference_standard
R00241,REF-ASSAY_A-02,reference_standard
R00242,REF-ASSAY_B-02,reference_standard
R00243,REF-ASSAY_C-02,reference_standard
R00244,REF-ASSAY_A-02,reference_standard
R00245,REF-ASSAY_B-02,reference_standard
R00246,REF-ASSAY_C-02,reference_standard
R00247,REF-ASSAY_A-02,reference_standard
R00248,REF-ASSAY_B-02,reference_standard
R00249,REF-ASSAY_C-02,reference_standard
R00250,REF-ASSAY_A-02,reference_standard
R00251,REF-ASSAY_B-02,reference_standard
R00252,REF-ASSAY_C-02,reference_standard
R00253,REF-ASSAY_A-02,reference_standard
R00254,REF-ASSAY_B-02,reference_standard
R00255,REF-ASSAY_C-02,reference_standard
R00256,REF-ASSAY_A-02,reference_standard
R00257,REF-ASSAY_B-02,reference_standard
R00258,REF-ASSAY_C-02,reference_standard
R00259,REF-ASSAY_A-02,reference_standard
R00260,REF-ASSAY_B-02,reference_standard
R00261,REF-ASSAY_C-02,reference_standard
R00262,REF-ASSAY_A-02,reference_standard
R00263,REF-ASSAY_B-02,reference_standard
R00264,REF-ASSAY_C-02,reference_standard
R00265,REF-ASSAY_A-02,reference_standard
R00266,REF-ASSAY_B-02,reference_standard
R00267,REF-ASSAY_C-02,reference_standard
R00268,REF-ASSAY_A-02,reference_standard
R00269,REF-ASSAY_B-02,reference_standard
R00270,REF-ASSAY_C-02,reference_standard
R00271,REF-ASSAY_A-02,reference_standard
R00272,REF-ASSAY_B-02,reference_standard
R00273,REF-ASSAY_C-02,reference_standard
R00274,REF-ASSAY_A-02,reference_standard
R00275,REF-ASSAY_B-02,reference_standard
R00276,REF-ASSAY_C-02,reference_standard
R00277,REF-ASSAY_A-02,reference_standard
R00278,REF-ASSAY_B-02,reference_standard
R00279,REF-ASSAY_C-02,reference_standard
R00280,REF-ASSAY_A-02,reference_standard
R00281,REF-ASSAY_B-02,reference_standard
R00282,REF-ASSAY_C-02,reference_standard
R00283,REF-ASSAY_A-02,reference_standard
R00284,REF-ASSAY_B-02,reference_standard
R00285,REF-ASSAY_C-02,reference_standard
R00286,REF-ASSAY_A-02,reference_standard
R00287,REF-ASSAY_B-02,reference_standard
R00288,REF-ASSAY_C-02,reference_standard
R00289,REF-ASSAY_A-02,reference_standard
R00290,REF-ASSAY_B-02,reference_standard
R00291,REF-ASSAY_C-02,reference_standard
R00292,REF-ASSAY_A-02,reference_standard
R00293,REF-ASSAY_B-02,reference_standard
R00294,REF-ASSAY_C-02,reference_standard
R00295,REF-ASSAY_A-02,reference_standard
R00296,REF-ASSAY_B-02,reference_standard
R00297,REF-ASSAY_C-02,reference_standard
R00298,REF-ASSAY_A-02,reference_standard
R00299,REF-ASSAY_B-02,reference_standard
R00300,REF-ASSAY_C-02,reference_standard
R00301,REF-ASSAY_A-02,reference_standard
R00302,REF-ASSAY_B-02,reference_standard
R00303,REF-ASSAY_C-02,reference_standard
R00304,REF-ASSAY_A-02,reference_standard
R00305,REF-ASSAY_B-02,reference_standard
R00306,REF-ASSAY_C-02,reference_standard
R00307,REF-ASSAY_A-02,reference_standard
R00308,REF-ASSAY_B-02,reference_standard
R00309,REF-ASSAY_C-02,reference_standard
R00310,REF-ASSAY_A-02,reference_standard
R00311,REF-ASSAY_B-02,reference_standard
R00312,REF-ASSAY_C-02,reference_standard
R00313,REF-ASSAY_A-02,reference_standard
R00314,REF-ASSAY_B-02,reference_standard
R00315,REF-ASSAY_C-02,reference_standard
R00316,REF-ASSAY_A-02,reference_standard
R00317,REF-ASSAY_B-02,reference_standard
R00318,REF-ASSAY_C-02,reference_standard
R00319,REF-ASSAY_A-02,reference_standard
R00320,REF-ASSAY_B-02,reference_standard
R00321,REF-ASSAY_C-02,reference_standard
R00322,REF-ASSAY_A-02,reference_standard
R00323,REF-ASSAY_B-02,reference_standard
R00324,REF-ASSAY_C-02,reference_standard
