run_id,qc_level,evaluation_type,nominal_value,measured_value,units,percent_bias,replicate_number,injection_index,analyte_area,is_area,area_ratio,retention_time,manual_integration,pass_fail,acceptance_limit_lower,acceptance_limit_upper,ingest_id,source_row
R00004,high_qc,quantitative,80.0,81.2199,ng/mL,1.5248,2,6,145080.8,142901.8,1.01525,4.196,0,pass,-15.0,15.0,,synthetic:R00004:high_qc:2
R00005,low_qc,quantitative,1.5,1.4498,ng/mL,-3.3447,1,1,127861.3,132285.8,0.96655,4.224,0,pass,-15.0,15.0,,synthetic:R00005:low_qc:1
R00005,low_qc,quantitative,1.5,1.43,ng/mL,-4.6653,2,2,144189.4,151245.4,0.95335,4.217,0,pass,-15.0,15.0,,synthetic:R00005:low_qc:2
R00005,mid_qc,quantitative,75.0,72.7351,ng/mL,-3.0199,1,3,143588.4,148059.7,0.9698,4.222,0,pass,-15.0,15.0,,synthetic:R00005:mid_qc:1
R00005,mid_qc,quantitative,75.0,73.1536,ng/mL,-2.4619,2,4,144600.3,148250.0,0.97538,4.216,0,pass,-15.0,15.0,,synthetic:R00005:mid_qc:2
R00005,high_qc,quantitative,200.0,193.3926,ng/mL,-3.3037,1,5,158955.5,164386.4,0.96696,4.21,0,pass,-15.0,15.0,,synthetic:R00005:high_qc:1
R00005,high_qc,quantitative,200.0,190.5833,ng/mL,-4.7083,2,6,149724.9,157122.8,0.95292,4.227,0,pass,-15.0,15.0,,synthetic:R00005:high_qc:2
R00006,low_qc,quantitative,6.0,5.7681,ng/mL,-3.8647,1,1,139545.9,145155.8,0.96135,4.219,0,pass,-15.0,15.0,,synthetic:R00006:low_qc:1
R00006,low_qc,quantitative,6.0,5.5864,ng/mL,-6.894,2,2,142308.3,152845.5,0.93106,4.254,0,pass,-15.0,15.0,,synthetic:R00006:low_qc:2
R00006,mid_qc,quantitative,150.0,144.4934,ng/mL,-3.6711,1,3,142262.2,147683.8,0.96329,4.193,0,pass,-15.0,15.0,,synthetic:R00006:mid_qc:1
R00006,mid_qc,quantitative,150.0,138.6053,ng/mL,-7.5965,2,4,134328.4,145371.5,0.92404,4.188,0,pass,-15.0,15.0,,synthetic:R00006:mid_qc:2
R00006,high_qc,quantitative,400.0,383.5444,ng/mL,-4.1139,1,5,139001.6,144965.3,0.95886,4.201,0,pass,-15.0,15.0,,synthetic:R00006:high_qc:1
R00006,high_qc,quantitative,400.0,381.0173,ng/mL,-4.7457,2,6,149000.9,156424.3,0.95254,4.202,0,pass,-15.0,15.0,,synthetic:R00006:high_qc:2
R00007,low_qc,quantitative,3.0,3.0849,ng/mL,2.8284,1,1,155332.6,151060.1,1.02828,4.219,0,pass,-15.0,15.0,,synthetic:R00007:low_qc:1
R00007,low_qc,quantitative,3.0,3.1029,ng/mL,3.4311,2,2,165803.8,160303.6,1.03431,4.209,0,pass,-15.0,15.0,,synthetic:R00007:low_qc:2
R00007,mid_qc,quantitative,30.0,31.0398,ng/mL,3.466,1,3,143816.7,138999.0,1.03466,4.2,0,pass,-15.0,15.0,,synthetic:R00007:mid_qc:1
R00007,mid_qc,quantitative,30.0,29.714,ng/mL,-0.9535,2,4,152544.4,154012.8,0.99047,4.217,0,pass,-15.0,15.0,,synthetic:R00007:mid_qc:2
R00007,high_qc,quantitative,80.0,84.1296,ng/mL,5.162,1,5,156402.8,148725.6,1.05162,4.2,0,pass,-15.0,15.0,,synthetic:R00007:high_qc:1
R00007,high_qc,quantitative,80.0,80.1368,ng/mL,0.1709,2,6,156486.1,156219.0,1.00171,4.183,0,pass,-15.0,15.0,,synthetic:R00007:high_qc:2
R00008,low_qc,quantitative,1.5,1.5586,ng/mL,3.9097,1,1,161468.5,155393.1,1.0391,4.209,0,pass,-15.0,15.0,,synthetic:R00008:low_qc:1
R00008,low_qc,quantitative,1.5,1.5582,ng/mL,3.8769,2,2,149169.9,143602.6,1.03877,4.25,0,pass,-15.0,15.0,,synthetic:R00008:low_qc:2
R00008,mid_qc,quantitative,75.0,78.5742,ng/mL,4.7655,1,3,159150.0,151910.7,1.04766,4.197,0,pass,-15.0,15.0,,synthetic:R00008:mid_qc:1
R00008,mid_qc,quantitative,75.0,76.5031,ng/mL,2.0042,2,4,149939.6,146993.6,1.02004,4.266,0,pass,-15.0,15.0,,synthetic:R00008:mid_qc:2
R00008,high_qc,quantitative,200.0,207.3716,ng/mL,3.6858,1,5,161006.0,155282.5,1.03686,4.185,0,pass,-15.0,15.0,,synthetic:R00008:high_qc:1
R00008,high_qc,quantitative,200.0,206.2106,ng/mL,3.1053,2,6,153281.1,148664.7,1.03105,4.212,0,pass,-15.0,15.0,,synthetic:R00008:high_qc:2
R00009,low_qc,quantitative,6.0,5.9739,ng/mL,-0.4348,1,1,150631.1,151288.9,0.99565,4.191,0,pass,-15.0,15.0,,synthetic:R00009:low_qc:1
R00009,low_qc,quantitative,6.0,6.0019,ng/mL,0.0321,2,2,159029.7,158978.6,1.00032,4.187,0,pass,-15.0,15.0,,synthetic:R00009:low_qc:2
R00009,mid_qc,quantitative,150.0,148.5478,ng/mL,-0.9681,1,3,158943.4,160497.2,0.99032,4.238,0,pass,-15.0,15.0,,synthetic:R00009:mid_qc:1
R00009,mid_qc,quantitative,150.0,144.987,ng/mL,-3.342,2,4,138421.2,143207.2,0.96658,4.229,0,pass,-15.0,15.0,,synthetic:R00009:mid_qc:2
R00009,high_qc,quantitative,400.0,388.7377,ng/mL,-2.8156,1,5,144567.2,148755.5,0.97184,4.228,0,pass,-15.0,15.0,,synthetic:R00009:high_qc:1
R00009,high_qc,quantitative,400.0,397.1241,ng/mL,-0.719,2,6,149314.8,150396.1,0.99281,4.175,0,pass,-15.0,15.0,,synthetic:R00009:high_qc:2
R00010,low_qc,quantitative,3.0,2.7907,ng/mL,-6.9763,1,1,141971.8,152619.0,0.93024,4.256,0,pass,-15.0,15.0,,synthetic:R00010:low_qc:1
R00010,low_qc,quantitative,3.0,3.1198,ng/mL,3.9938,2,2,165692.6,159329.3,1.03994,4.229,0,pass,-15.0,15.0,,synthetic:R00010:low_qc:2
R00010,mid_qc,quantitative,30.0,30.6012,ng/mL,2.004,1,3,149725.2,146783.7,1.02004,4.194,0,pass,-15.0,15.0,,synthetic:R00010:mid_qc:1
R00010,mid_qc,quantitative,30.0,29.5737,ng/mL,-1.4209,2,4,142359.7,144411.6,0.98579,4.198,0,pass,-15.0,15.0,,synthetic:R00010:mid_qc:2
R00010,high_qc,quantitative,80.0,73.7986,ng/mL,-7.7517,1,5,147064.1,159422.0,0.92248,4.235,0,pass,-15.0,15.0,,synthetic:R00010:high_qc:1
R00010,high_qc,quantitative,80.0,75.1337,ng/mL,-6.0828,2,6,138051.7,146993.0,0.93917,4.205,0,pass,-15.0,15.0,,synthetic:R00010:high_qc:2
R00011,low_qc,quantitative,1.5,1.6022,ng/mL,6.8152,1,1,166531.7,155906.5,1.06815,4.227,0,pass,-15.0,15.0,,synthetic:R00011:low_qc:1
R00011,low_qc,quantitative,1.5,1.4883,ng/mL,-0.7803,2,2,147307.7,148466.2,0.9922,4.198,0,pass,-15.0,15.0,,synthetic:R00011:low_qc:2
R00011,mid_qc,quantitative,75.0,76.6272,ng/mL,2.1696,1,3,145482.8,142393.4,1.0217,4.23,0,pass,-15.0,15.0,,synthetic:R00011:mid_qc:1
R00011,mid_qc,quantitative,75.0,76.1111,ng/mL,1.4814,2,4,153097.4,150862.5,1.01481,4.207,0,pass,-15.0,15.0,,synthetic:R00011:mid_qc:2
R00011,high_qc,quantitative,200.0,201.3674,ng/mL,0.6837,1,5,146418.5,145424.3,1.00684,4.19,0,pass,-15.0,15.0,,synthetic:R00011:high_qc:1
R00011,high_qc,quantitative,200.0,217.835,ng/mL,8.9175,2,6,160977.6,147797.8,1.08917,4.245,0,pass,-15.0,15.0,,synthetic:R00011:high_qc:2
R00012,low_qc,quantitative,6.0,5.6469,ng/mL,-5.8843,1,1,145442.8,154536.2,0.94116,4.193,0,pass,-15.0,15.0,,synthetic:R00012:low_qc:1
R00012,low_qc,quantitative,6.0,5.8392,ng/mL,-2.6801,2,2,154302.3,158551.6,0.9732,4.2,0,pass,-15.0,15.0,,synthetic:R00012:low_qc:2
R00012,mid_qc,quantitative,150.0,155.7374,ng/mL,3.825,1,3,154860.2,149155.1,1.03825,4.226,0,pass,-15.0,15.0,,synthetic:R00012:mid_qc:1
R00012,mid_qc,quantitative,150.0,149.1656,ng/mL,-0.5563,2,4,138848.3,139625.0,0.99444,4.238,0,pass,-15.0,15.0,,synthetic:R00012:mid_qc:2
R00012,high_qc,quantitative,400.0,377.0562,ng/mL,-5.7359,1,5,147777.5,156769.7,0.94264,4.233,0,pass,-15.0,15.0,,synthetic:R00012:high_qc:1
R00012,high_qc,quantitative,400.0,386.795,ng/mL,-3.3012,2,6,157123.3,162487.4,0.96699,4.228,0,pass,-15.0,15.0,,synthetic:R00012:high_qc:2
R00013,low_qc,quantitative,3.0,2.9911,ng/mL,-0.2968,1,1,148395.4,148837.1,0.99703,4.208,0,pass,-15.0,15.0,,synthetic:R00013:low_qc:1
R00013,low_qc,quantitative,3.0,2.8626,ng/mL,-4.5793,2,2,142848.3,149703.7,0.95421,4.214,0,pass,-15.0,15.0,,synthetic:R00013:low_qc:2
R00013,mid_qc,quantitative,30.0,29.738,ng/mL,-0.8735,1,3,140837.6,142078.6,0.99127,4.201,0,pass,-15.0,15.0,,synthetic:R00013:mid_qc:1
R00013,mid_qc,quantitative,30.0,30.3192,ng/mL,1.064,2,4,144592.7,143070.5,1.01064,4.211,0,pass,-15.0,15.0,,synthetic:R00013:mid_qc:2
R00013,high_qc,quantitative,80.0,85.2417,ng/mL,6.5521,1,5,155525.4,145961.8,1.06552,4.196,0,pass,-15.0,15.0,,synthetic:R00013:high_qc:1
R00013,high_qc,quantitative,80.0,84.7894,ng/mL,5.9867,2,6,157766.4,148854.9,1.05987,4.207,0,pass,-15.0,15.0,,synthetic:R00013:high_qc:2
R00014,low_qc,quantitative,1.5,1.5589,ng/mL,3.9282,1,1,162920.7,156762.8,1.03928,4.194,0,pass,-15.0,15.0,,synthetic:R00014:low_qc:1
R00014,low_qc,quantitative,1.5,1.5201,ng/mL,1.3407,2,2,163154.0,160995.5,1.01341,4.209,0,pass,-15.0,15.0,,synthetic:R00014:low_qc:2
R00014,mid_qc,quantitative,75.0,72.9052,ng/mL,-2.7931,1,3,152085.7,156455.6,0.97207,4.214,0,pass,-15.0,15.0,,synthetic:R00014:mid_qc:1
R00014,mid_qc,quantitative,75.0,74.964,ng/mL,-0.048,2,4,164084.1,164162.9,0.99952,4.214,0,pass,-15.0,15.0,,synthetic:R00014:mid_qc:2
R00014,high_qc,quantitative,200.0,202.8467,ng/mL,1.4233,1,5,150219.6,148111.5,1.01423,4.229,0,pass,-15.0,15.0,,synthetic:R00014:high_qc:1
R00014,high_qc,quantitative,200.0,193.9194,ng/mL,-3.0403,2,6,143123.2,147611.0,0.9696,4.212,0,pass,-15.0,15.0,,synthetic:R00014:high_qc:2
R00015,low_qc,quantitative,6.0,6.0696,ng/mL,1.1592,1,1,150232.6,148511.1,1.01159,4.222,0,pass,-15.0,15.0,,synthetic:R00015:low_qc:1
R00015,low_qc,quantitative,6.0,6.0283,ng/mL,0.4713,2,2,144281.2,143604.4,1.00471,4.24,0,pass,-15.0,15.0,,synthetic:R00015:low_qc:2
R00015,mid_qc,quantitative,150.0,143.0756,ng/mL,-4.6162,1,3,145751.2,152805.1,0.95384,4.228,0,pass,-15.0,15.0,,synthetic:R00015:mid_qc:1
R00015,mid_qc,quantitative,150.0,147.5107,ng/mL,-1.6595,2,4,139838.6,142198.4,0.9834,4.201,0,pass,-15.0,15.0,,synthetic:R00015:mid_qc:2
R00015,high_qc,quantitative,400.0,423.3559,ng/mL,5.839,1,5,149856.4,141589.0,1.05839,4.237,0,pass,-15.0,15.0,,synthetic:R00015:high_qc:1
R00015,high_qc,quantitative,400.0,384.1379,ng/mL,-3.9655,2,6,145205.0,151200.9,0.96034,4.231,0,pass,-15.0,15.0,,synthetic:R00015:high_qc:2
R00016,low_qc,quantitative,3.0,2.9739,ng/mL,-0.8706,1,1,155159.9,156522.5,0.99129,4.218,0,pass,-15.0,15.0,,synthetic:R00016:low_qc:1
R00016,low_qc,quantitative,3.0,3.1797,ng/mL,5.9913,2,2,151597.0,143027.7,1.05991,4.204,0,pass,-15.0,15.0,,synthetic:R00016:low_qc:2
R00016,mid_qc,quantitative,30.0,30.4137,ng/mL,1.3791,1,3,142461.2,140523.2,1.01379,4.203,0,pass,-15.0,15.0,,synthetic:R00016:mid_qc:1
R00016,mid_qc,quantitative,30.0,29.7656,ng/mL,-0.7813,2,4,140606.9,141714.1,0.99219,4.187,0,pass,-15.0,15.0,,synthetic:R00016:mid_qc:2
R00016,high_qc,quantitative,80.0,83.722,ng/mL,4.6525,1,5,151966.9,145211.1,1.04652,4.223,0,pass,-15.0,15.0,,synthetic:R00016:high_qc:1
R00016,high_qc,quantitative,80.0,81.4395,ng/mL,1.7994,2,6,162982.4,160101.5,1.01799,4.249,0,pass,-15.0,15.0,,synthetic:R00016:high_qc:2
R00017,low_qc,quantitative,1.5,1.521,ng/mL,1.397,1,1,158486.9,156303.4,1.01397,4.216,0,pass,-15.0,15.0,,synthetic:R00017:low_qc:1
R00017,low_qc,quantitative,1.5,1.4446,ng/mL,-3.6952,2,2,145801.8,151396.2,0.96305,4.193,0,pass,-15.0,15.0,,synthetic:R00017:low_qc:2
R00017,mid_qc,quantitative,75.0,79.8806,ng/mL,6.5075,1,3,159503.3,149757.8,1.06508,4.209,0,pass,-15.0,15.0,,synthetic:R00017:mid_qc:1
R00017,mid_qc,quantitative,75.0,76.09,ng/mL,1.4534,2,4,152252.4,150071.3,1.01453,4.198,0,pass,-15.0,15.0,,synthetic:R00017:mid_qc:2
R00017,high_qc,quantitative,200.0,196.9808,ng/mL,-1.5096,1,5,152944.0,155288.2,0.9849,4.225,0,pass,-15.0,15.0,,synthetic:R00017:high_qc:1
R00017,high_qc,quantitative,200.0,205.3468,ng/mL,2.6734,2,6,154033.0,150022.3,1.02673,4.171,0,pass,-15.0,15.0,,synthetic:R00017:high_qc:2
R00018,low_qc,quantitative,6.0,6.3929,ng/mL,6.548,1,1,166807.4,156556.1,1.06548,4.184,0,pass,-15.0,15.0,,synthetic:R00018:low_qc:1
R00018,low_qc,quantitative,6.0,5.7785,ng/mL,-3.6917,2,2,145818.9,151408.5,0.96308,4.208,0,pass,-15.0,15.0,,synthetic:R00018:low_qc:2
R00018,mid_qc,quantitative,150.0,152.7791,ng/mL,1.8527,1,3,152995.8,150212.8,1.01853,4.179,0,pass,-15.0,15.0,,synthetic:R00018:mid_qc:1
R00018,mid_qc,quantitative,150.0,146.5636,ng/mL,-2.2909,2,4,137584.1,140809.9,0.97709,4.237,0,pass,-15.0,15.0,,synthetic:R00018:mid_qc:2
R00018,high_qc,quantitative,400.0,393.3681,ng/mL,-1.658,1,5,148991.9,151503.8,0.98342,4.211,0,pass,-15.0,15.0,,synthetic:R00018:high_qc:1
R00018,high_qc,quantitative,400.0,400.419,ng/mL,0.1047,2,6,150418.9,150261.5,1.00105,4.212,0,pass,-15.0,15.0,,synthetic:R00018:high_qc:2
R00019,low_qc,quantitative,3.0,3.1346,ng/mL,4.4851,1,1,152372.6,145831.9,1.04485,4.241,0,pass,-15.0,15.0,,synthetic:R00019:low_qc:1
R00019,low_qc,quantitative,3.0,3.0702,ng/mL,2.3408,2,2,166811.5,162996.1,1.02341,4.208,0,pass,-15.0,15.0,,synthetic:R00019:low_qc:2
R00019,mid_qc,quantitative,30.0,29.6541,ng/mL,-1.1531,1,3,154807.2,156613.1,0.98847,4.201,0,pass,-15.0,15.0,,synthetic:R00019:mid_qc:1
R00019,mid_qc,quantitative,30.0,31.6752,ng/mL,5.584,2,4,148705.8,140841.3,1.05584,4.216,0,pass,-15.0,15.0,,synthetic:R00019:mid_qc:2
R00019,high_qc,quantitative,80.0,79.2718,ng/mL,-0.9102,1,5,151728.8,153122.5,0.9909,4.2,0,pass,-15.0,15.0,,synthetic:R00019:high_qc:1
R00019,high_qc,quantitative,80.0,81.1265,ng/mL,1.4081,2,6,157318.2,155133.8,1.01408,4.209,0,pass,-15.0,15.0,,synthetic:R00019:high_qc:2
R00020,low_qc,quantitative,1.5,1.5645,ng/mL,4.2981,1,1,157813.4,151310.0,1.04298,4.23,0,pass,-15.0,15.0,,synthetic:R00020:low_qc:1
R00020,low_qc,quantitative,1.5,1.5008,ng/mL,0.0518,2,2,152754.9,152675.8,1.00052,4.222,0,pass,-15.0,15.0,,synthetic:R00020:low_qc:2
R00020,mid_qc,quantitative,75.0,75.8569,ng/mL,1.1426,1,3,141222.2,139626.9,1.01143,4.18,0,pass,-15.0,15.0,,synthetic:R00020:mid_qc:1
R00020,mid_qc,quantitative,75.0,71.1257,ng/mL,-5.1657,2,4,149448.9,157589.6,0.94834,4.194,0,pass,-15.0,15.0,,synthetic:R00020:mid_qc:2
R00020,high_qc,quantitative,200.0,198.0453,ng/mL,-0.9774,1,5,139738.2,141117.5,0.99023,4.193,0,pass,-15.0,15.0,,synthetic:R00020:high_qc:1
R00020,high_qc,quantitative,200.0,205.1984,ng/mL,2.5992,2,6,148871.9,145100.5,1.02599,4.232,0,pass,-15.0,15.0,,synthetic:R00020:high_qc:2
R00021,low_qc,quantitative,6.0,5.9021,ng/mL,-1.6318,1,1,139678.3,141995.5,0.98368,4.208,0,pass,-15.0,15.0,,synthetic:R00021:low_qc:1
R00021,low_qc,quantitative,6.0,5.9049,ng/mL,-1.5858,2,2,138686.5,140921.3,0.98414,4.2,0,pass,-15.0,15.0,,synthetic:R00021:low_qc:2
R00021,mid_qc,quantitative,150.0,148.1257,ng/mL,-1.2495,1,3,143642.8,145460.3,0.9875,4.232,0,pass,-15.0,15.0,,synthetic:R00021:mid_qc:1
R00021,mid_qc,quantitative,150.0,145.4904,ng/mL,-3.0064,2,4,142398.7,146812.4,0.96994,4.218,0,pass,-15.0,15.0,,synthetic:R00021:mid_qc:2
R00021,high_qc,quantitative,400.0,419.6387,ng/mL,4.9097,1,5,165558.5,157810.6,1.0491,4.219,0,pass,-15.0,15.0,,synthetic:R00021:high_qc:1
R00021,high_qc,quantitative,400.0,381.1849,ng/mL,-4.7038,2,6,139010.2,145871.7,0.95296,4.221,0,pass,-15.0,15.0,,synthetic:R00021:high_qc:2
R00022,low_qc,quantitative,3.0,3.0558,ng/mL,1.8605,1,1,148757.7,146040.6,1.0186,4.184,0,pass,-15.0,15.0,,synthetic:R00022:low_qc:1
R00022,low_qc,quantitative,3.0,2.9375,ng/mL,-2.0833,2,2,144242.8,147311.8,0.97917,4.233,0,pass,-15.0,15.0,,synthetic:R00022:low_qc:2
R00022,mid_qc,quantitative,30.0,30.7036,ng/mL,2.3454,1,3,164749.5,160974.1,1.02345,4.229,0,pass,-15.0,15.0,,synthetic:R00022:mid_qc:1
R00022,mid_qc,quantitative,30.0,30.395,ng/mL,1.3167,2,4,156899.9,154860.9,1.01317,4.197,0,pass,-15.0,15.0,,synthetic:R00022:mid_qc:2
R00022,high_qc,quantitative,80.0,75.4855,ng/mL,-5.6432,1,5,145627.1,154336.5,0.94357,4.198,0,pass,-15.0,15.0,,synthetic:R00022:high_qc:1
R00022,high_qc,quantitative,80.0,79.7646,ng/mL,-0.2942,2,6,144700.7,145127.6,0.99706,4.235,0,pass,-15.0,15.0,,synthetic:R00022:high_qc:2
R00023,low_qc,quantitative,1.5,1.4514,ng/mL,-3.2422,1,1,146554.0,151464.8,0.96758,4.221,0,pass,-15.0,15.0,,synthetic:R00023:low_qc:1
R00023,low_qc,quantitative,1.5,1.4522,ng/mL,-3.1846,2,2,145045.6,149816.7,0.96815,4.212,0,pass,-15.0,15.0,,synthetic:R00023:low_qc:2
R00023,mid_qc,quantitative,75.0,79.1454,ng/mL,5.5272,1,3,165305.7,156647.5,1.05527,4.242,0,pass,-15.0,15.0,,synthetic:R00023:mid_qc:1
R00023,mid_qc,quantitative,75.0,79.0301,ng/mL,5.3734,2,4,153862.9,146016.8,1.05373,4.211,0,pass,-15.0,15.0,,synthetic:R00023:mid_qc:2
R00023,high_qc,quantitative,200.0,202.3837,ng/mL,1.1918,1,5,146973.4,145242.3,1.01192,4.216,0,pass,-15.0,15.0,,synthetic:R00023:high_qc:1
R00023,high_qc,quantitative,200.0,198.4584,ng/mL,-0.7708,2,6,142066.1,143169.7,0.99229,4.215,0,pass,-15.0,15.0,,synthetic:R00023:high_qc:2
R00024,low_qc,quantitative,6.0,6.2446,ng/mL,4.077,1,1,167516.1,160954.0,1.04077,4.239,0,pass,-15.0,15.0,,synthetic:R00024:low_qc:1
R00024,low_qc,quantitative,6.0,6.0411,ng/mL,0.6844,2,2,151802.3,150770.5,1.00684,4.236,0,pass,-15.0,15.0,,synthetic:R00024:low_qc:2
R00024,mid_qc,quantitative,150.0,148.6049,ng/mL,-0.9301,1,3,145376.7,146741.5,0.9907,4.205,0,pass,-15.0,15.0,,synthetic:R00024:mid_qc:1
R00024,mid_qc,quantitative,150.0,159.2737,ng/mL,6.1824,2,4,161782.5,152362.8,1.06182,4.16,0,pass,-15.0,15.0,,synthetic:R00024:mid_qc:2
R00024,high_qc,quantitative,400.0,402.4341,ng/mL,0.6085,1,5,148983.5,148082.4,1.00609,4.216,0,pass,-15.0,15.0,,synthetic:R00024:high_qc:1
R00024,high_qc,quantitative,400.0,394.2521,ng/mL,-1.437,2,6,141056.9,143113.4,0.98563,4.2,0,pass,-15.0,15.0,,synthetic:R00024:high_qc:2
R00025,low_qc,quantitative,3.0,2.9285,ng/mL,-2.3841,1,1,146073.0,149640.6,0.97616,4.203,0,pass,-15.0,15.0,,synthetic:R00025:low_qc:1
R00025,low_qc,quantitative,3.0,3.1985,ng/mL,6.6156,2,2,154101.0,144538.8,1.06616,4.2,0,pass,-15.0,15.0,,synthetic:R00025:low_qc:2
R00025,mid_qc,quantitative,30.0,29.761,ng/mL,-0.7967,1,3,146148.9,147322.6,0.99203,4.206,0,pass,-15.0,15.0,,synthetic:R00025:mid_qc:1
R00025,mid_qc,quantitative,30.0,30.6192,ng/mL,2.064,2,4,158485.5,155280.6,1.02064,4.214,0,pass,-15.0,15.0,,synthetic:R00025:mid_qc:2
R00025,high_qc,quantitative,80.0,74.8954,ng/mL,-6.3808,1,5,153086.6,163520.5,0.93619,4.195,0,pass,-15.0,15.0,,synthetic:R00025:high_qc:1
R00025,high_qc,quantitative,80.0,80.5939,ng/mL,0.7423,2,6,155892.6,154743.8,1.00742,4.205,0,pass,-15.0,15.0,,synthetic:R00025:high_qc:2
R00026,low_qc,quantitative,1.5,1.4991,ng/mL,-0.0578,1,1,155318.5,155408.3,0.99942,4.226,0,pass,-15.0,15.0,,synthetic:R00026:low_qc:1
R00026,low_qc,quantitative,1.5,1.4647,ng/mL,-2.3525,2,2,145393.3,148896.0,0.97648,4.234,0,pass,-15.0,15.0,,synthetic:R00026:low_qc:2
R00026,mid_qc,quantitative,75.0,69.6095,ng/mL,-7.1873,1,3,139594.5,150404.5,0.92813,4.216,0,pass,-15.0,15.0,,synthetic:R00026:mid_qc:1
R00026,mid_qc,quantitative,75.0,76.9874,ng/mL,2.6499,2,4,143690.4,139981.1,1.0265,4.216,0,pass,-15.0,15.0,,synthetic:R00026:mid_qc:2
