run_id,method_id,instrument_id,study_id,acquisition_timestamp,run_type,acceptance_status,acceptance_reason,column_id,column_injection_count,processing_method_version,analyst_ref,ingest_id,source_row
R00054,ASSAY_C,LCMS-02,STUDY-2025-01,2025-03-09T14:00:00+00:00,sample_analysis,accepted,,,80,1.0,ANALYST-03,,synthetic:R00054
R00055,ASSAY_A,LCMS-01,STUDY-2025-01,2025-03-07T16:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-04,,synthetic:R00055
R00056,ASSAY_B,LCMS-02,STUDY-2025-01,2025-03-07T08:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-01,,synthetic:R00056
R00057,ASSAY_C,LCMS-03,STUDY-2025-01,2025-03-07T10:00:00+00:00,sample_analysis,accepted,,COL-0007,120,1.0,ANALYST-02,,synthetic:R00057
R00058,ASSAY_A,LCMS-02,STUDY-2025-01,2025-03-11T12:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-03,,synthetic:R00058
R00059,ASSAY_B,LCMS-03,STUDY-2025-01,2025-03-11T14:00:00+00:00,sample_analysis,accepted,,COL-0007,120,1.0,ANALYST-04,,synthetic:R00059
R00060,ASSAY_C,LCMS-01,STUDY-2025-01,2025-03-11T16:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-01,,synthetic:R00060
R00061,ASSAY_A,LCMS-03,STUDY-2025-01,2025-03-15T08:00:00+00:00,sample_analysis,accepted,,COL-0007,120,1.0,ANALYST-02,,synthetic:R00061
R00062,ASSAY_B,LCMS-01,STUDY-2025-01,2025-03-15T10:00:00+00:00,sample_analysis,accepted,one or more QC replicates outside limits,,120,1.0,ANALYST-03,,synthetic:R00062
R00063,ASSAY_C,LCMS-02,STUDY-2025-01,2025-03-15T12:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-04,,synthetic:R00063
R00064,ASSAY_A,LCMS-01,STUDY-2025-01,2025-03-19T14:00:00+00:00,sample_analysis,accepted,one or more QC replicates outside limits,,120,1.0,ANALYST-01,,synthetic:R00064
R00065,ASSAY_B,LCMS-02,STUDY-2025-01,2025-03-19T16:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-02,,synthetic:R00065
R00066,ASSAY_C,LCMS-03,STUDY-2025-01,2025-03-19T08:00:00+00:00,sample_analysis,accepted,,COL-0007,120,1.0,ANALYST-03,,synthetic:R00066
R00067,ASSAY_A,LCMS-02,STUDY-2025-01,2025-03-23T10:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-04,,synthetic:R00067
R00068,ASSAY_B,LCMS-03,STUDY-2025-01,2025-03-23T12:00:00+00:00,sample_analysis,accepted,,COL-0007,120,1.0,ANALYST-01,,synthetic:R00068
R00069,ASSAY_C,LCMS-01,STUDY-2025-01,2025-03-23T14:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-02,,synthetic:R00069
R00070,ASSAY_A,LCMS-03,STUDY-2025-01,2025-03-27T16:00:00+00:00,sample_analysis,accepted,,COL-0007,120,1.0,ANALYST-03,,synthetic:R00070
R00071,ASSAY_B,LCMS-01,STUDY-2025-01,2025-03-27T08:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-04,,synthetic:R00071
R00072,ASSAY_C,LCMS-02,STUDY-2025-01,2025-03-27T10:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-01,,synthetic:R00072
R00073,ASSAY_A,LCMS-01,STUDY-2025-01,2025-03-31T12:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-02,,synthetic:R00073
R00074,ASSAY_B,LCMS-02,STUDY-2025-01,2025-03-31T14:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-03,,synthetic:R00074
R00075,ASSAY_C,LCMS-03,STUDY-2025-01,2025-03-31T16:00:00+00:00,sample_analysis,accepted,,COL-0007,120,1.0,ANALYST-04,,synthetic:R00075
R00076,ASSAY_A,LCMS-02,STUDY-2025-01,2025-04-04T08:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-01,,synthetic:R00076
R00077,ASSAY_B,LCMS-03,STUDY-2025-01,2025-04-04T10:00:00+00:00,sample_analysis,accepted,,COL-0007,120,1.0,ANALYST-02,,synthetic:R00077
R00078,ASSAY_C,LCMS-01,STUDY-2025-01,2025-04-04T12:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-03,,synthetic:R00078
R00079,ASSAY_A,LCMS-03,STUDY-2025-01,2025-04-08T14:00:00+00:00,sample_analysis,accepted,one or more QC replicates outside limits,COL-0007,120,1.0,ANALYST-04,,synthetic:R00079
R00080,ASSAY_B,LCMS-01,STUDY-2025-01,2025-04-08T16:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-01,,synthetic:R00080
R00081,ASSAY_C,LCMS-02,STUDY-2025-01,2025-04-08T08:00:00+00:00,sample_analysis,accepted,,,120,1.0,ANALYST-02,,synthetic:R00081
R00082,ASSAY_A,LCMS-01,STUDY-2025-02,2025-04-06T10:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-03,,synthetic:R00082
R00083,ASSAY_B,LCMS-02,STUDY-2025-02,2025-04-06T12:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-04,,synthetic:R00083
R00084,ASSAY_C,LCMS-03,STUDY-2025-02,2025-04-06T14:00:00+00:00,sample_analysis,accepted,,COL-0007,160,1.0,ANALYST-01,,synthetic:R00084
R00085,ASSAY_A,LCMS-02,STUDY-2025-02,2025-04-10T16:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-02,,synthetic:R00085
R00086,ASSAY_B,LCMS-03,STUDY-2025-02,2025-04-10T08:00:00+00:00,sample_analysis,accepted,,COL-0007,160,1.0,ANALYST-03,,synthetic:R00086
R00087,ASSAY_C,LCMS-01,STUDY-2025-02,2025-04-10T10:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-04,,synthetic:R00087
R00088,ASSAY_A,LCMS-03,STUDY-2025-02,2025-04-14T12:00:00+00:00,sample_analysis,accepted,one or more QC replicates outside limits,COL-0007,160,1.0,ANALYST-01,,synthetic:R00088
R00089,ASSAY_B,LCMS-01,STUDY-2025-02,2025-04-14T14:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-02,,synthetic:R00089
R00090,ASSAY_C,LCMS-02,STUDY-2025-02,2025-04-14T16:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-03,,synthetic:R00090
R00091,ASSAY_A,LCMS-01,STUDY-2025-02,2025-04-18T08:00:00+00:00,sample_analysis,accepted,one or more QC replicates outside limits,,160,1.0,ANALYST-04,,synthetic:R00091
R00092,ASSAY_B,LCMS-02,STUDY-2025-02,2025-04-18T10:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-01,,synthetic:R00092
R00093,ASSAY_C,LCMS-03,STUDY-2025-02,2025-04-18T12:00:00+00:00,sample_analysis,accepted,,COL-0007,160,1.0,ANALYST-02,,synthetic:R00093
R00094,ASSAY_A,LCMS-02,STUDY-2025-02,2025-04-22T14:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-03,,synthetic:R00094
R00095,ASSAY_B,LCMS-03,STUDY-2025-02,2025-04-22T16:00:00+00:00,sample_analysis,accepted,,COL-0007,160,1.0,ANALYST-04,,synthetic:R00095
R00096,ASSAY_C,LCMS-01,STUDY-2025-02,2025-04-22T08:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-01,,synthetic:R00096
R00097,ASSAY_A,LCMS-03,STUDY-2025-02,2025-04-26T10:00:00+00:00,sample_analysis,accepted,one or more QC replicates outside limits,COL-0007,160,1.0,ANALYST-02,,synthetic:R00097
R00098,ASSAY_B,LCMS-01,STUDY-2025-02,2025-04-26T12:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-03,,synthetic:R00098
R00099,ASSAY_C,LCMS-02,STUDY-2025-02,2025-04-26T14:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-04,,synthetic:R00099
R00100,ASSAY_A,LCMS-01,STUDY-2025-02,2025-04-30T16:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-01,,synthetic:R00100
R00101,ASSAY_B,LCMS-02,STUDY-2025-02,2025-04-30T08:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-02,,synthetic:R00101
R00102,ASSAY_C,LCMS-03,STUDY-2025-02,2025-04-30T10:00:00+00:00,sample_analysis,accepted,,COL-0007,160,1.0,ANALYST-03,,synthetic:R00102
R00103,ASSAY_A,LCMS-02,STUDY-2025-02,2025-05-04T12:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-04,,synthetic:R00103
R00104,ASSAY_B,LCMS-03,STUDY-2025-02,2025-05-04T14:00:00+00:00,sample_analysis,accepted,,COL-0007,160,1.0,ANALYST-01,,synthetic:R00104
R00105,ASSAY_C,LCMS-01,STUDY-2025-02,2025-05-04T16:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-02,,synthetic:R00105
R00106,ASSAY_A,LCMS-03,STUDY-2025-02,2025-05-08T08:00:00+00:00,sample_analysis,accepted,,COL-0007,160,1.0,ANALYST-03,,synthetic:R00106
R00107,ASSAY_B,LCMS-01,STUDY-2025-02,2025-05-08T10:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-04,,synthetic:R00107
R00108,ASSAY_C,LCMS-02,STUDY-2025-02,2025-05-08T12:00:00+00:00,sample_analysis,accepted,,,160,1.0,ANALYST-01,,synthetic:R00108
R00109,ASSAY_A,LCMS-01,STUDY-2025-02,2025-05-06T14:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-02,,synthetic:R00109
R00110,ASSAY_B,LCMS-02,STUDY-2025-02,2025-05-06T16:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-03,,synthetic:R00110
R00111,ASSAY_C,LCMS-03,STUDY-2025-02,2025-05-06T08:00:00+00:00,sample_analysis,accepted,,COL-0007,200,1.0,ANALYST-04,,synthetic:R00111
R00112,ASSAY_A,LCMS-02,STUDY-2025-02,2025-05-10T10:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-01,,synthetic:R00112
R00113,ASSAY_B,LCMS-03,STUDY-2025-02,2025-05-10T12:00:00+00:00,sample_analysis,accepted,,COL-0007,200,1.0,ANALYST-02,,synthetic:R00113
R00114,ASSAY_C,LCMS-01,STUDY-2025-02,2025-05-10T14:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-03,,synthetic:R00114
R00115,ASSAY_A,LCMS-03,STUDY-2025-02,2025-05-14T16:00:00+00:00,sample_analysis,accepted,,COL-0007,200,1.0,ANALYST-04,,synthetic:R00115
R00116,ASSAY_B,LCMS-01,STUDY-2025-02,2025-05-14T08:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-01,,synthetic:R00116
R00117,ASSAY_C,LCMS-02,STUDY-2025-02,2025-05-14T10:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-02,,synthetic:R00117
R00118,ASSAY_A,LCMS-01,STUDY-2025-02,2025-05-18T12:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-03,,synthetic:R00118
R00119,ASSAY_B,LCMS-02,STUDY-2025-02,2025-05-18T14:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-04,,synthetic:R00119
R00120,ASSAY_C,LCMS-03,STUDY-2025-02,2025-05-18T16:00:00+00:00,sample_analysis,accepted,,COL-0007,200,1.0,ANALYST-01,,synthetic:R00120
R00121,ASSAY_A,LCMS-02,STUDY-2025-02,2025-05-22T08:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-02,,synthetic:R00121
R00122,ASSAY_B,LCMS-03,STUDY-2025-02,2025-05-22T10:00:00+00:00,sample_analysis,accepted,,COL-0007,200,1.0,ANALYST-03,,synthetic:R00122
R00123,ASSAY_C,LCMS-01,STUDY-2025-02,2025-05-22T12:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-04,,synthetic:R00123
R00124,ASSAY_A,LCMS-03,STUDY-2025-02,2025-05-26T14:00:00+00:00,sample_analysis,accepted,,COL-0007,200,1.0,ANALYST-01,,synthetic:R00124
R00125,ASSAY_B,LCMS-01,STUDY-2025-02,2025-05-26T16:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-02,,synthetic:R00125
R00126,ASSAY_C,LCMS-02,STUDY-2025-02,2025-05-26T08:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-03,,synthetic:R00126
R00127,ASSAY_A,LCMS-01,STUDY-2025-02,2025-05-30T10:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-04,,synthetic:R00127
R00128,ASSAY_B,LCMS-02,STUDY-2025-02,2025-05-30T12:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-01,,synthetic:R00128
R00129,ASSAY_C,LCMS-03,STUDY-2025-02,2025-05-30T14:00:00+00:00,sample_analysis,accepted,,COL-0007,200,1.0,ANALYST-02,,synthetic:R00129
R00130,ASSAY_A,LCMS-02,STUDY-2025-02,2025-06-03T16:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-03,,synthetic:R00130
R00131,ASSAY_B,LCMS-03,STUDY-2025-02,2025-06-03T08:00:00+00:00,sample_analysis,accepted,,COL-0007,200,1.0,ANALYST-04,,synthetic:R00131
R00132,ASSAY_C,LCMS-01,STUDY-2025-02,2025-06-03T10:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-01,,synthetic:R00132
R00133,ASSAY_A,LCMS-03,STUDY-2025-02,2025-06-07T12:00:00+00:00,sample_analysis,accepted,,COL-0007,200,1.0,ANALYST-02,,synthetic:R00133
R00134,ASSAY_B,LCMS-01,STUDY-2025-02,2025-06-07T14:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-03,,synthetic:R00134
R00135,ASSAY_C,LCMS-02,STUDY-2025-02,2025-06-07T16:00:00+00:00,sample_analysis,accepted,,,200,1.0,ANALYST-04,,synthetic:R00135
R00136,ASSAY_A,LCMS-01,STUDY-2025-02,2025-06-05T08:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-01,,synthetic:R00136
R00137,ASSAY_B,LCMS-02,STUDY-2025-02,2025-06-05T10:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-02,,synthetic:R00137
R00138,ASSAY_C,LCMS-03,STUDY-2025-02,2025-06-05T12:00:00+00:00,sample_analysis,accepted,,COL-0007,240,1.0,ANALYST-03,,synthetic:R00138
R00139,ASSAY_A,LCMS-02,STUDY-2025-02,2025-06-09T14:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-04,,synthetic:R00139
R00140,ASSAY_B,LCMS-03,STUDY-2025-02,2025-06-09T16:00:00+00:00,sample_analysis,accepted,,COL-0007,240,1.0,ANALYST-01,,synthetic:R00140
R00141,ASSAY_C,LCMS-01,STUDY-2025-02,2025-06-09T08:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-02,,synthetic:R00141
R00142,ASSAY_A,LCMS-03,STUDY-2025-02,2025-06-13T10:00:00+00:00,sample_analysis,accepted,,COL-0007,240,1.0,ANALYST-03,,synthetic:R00142
R00143,ASSAY_B,LCMS-01,STUDY-2025-02,2025-06-13T12:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-04,,synthetic:R00143
R00144,ASSAY_C,LCMS-02,STUDY-2025-02,2025-06-13T14:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-01,,synthetic:R00144
R00145,ASSAY_A,LCMS-01,STUDY-2025-02,2025-06-17T16:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-02,,synthetic:R00145
R00146,ASSAY_B,LCMS-02,STUDY-2025-02,2025-06-17T08:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-03,,synthetic:R00146
R00147,ASSAY_C,LCMS-03,STUDY-2025-02,2025-06-17T10:00:00+00:00,sample_analysis,accepted,,COL-0007,240,1.0,ANALYST-04,,synthetic:R00147
R00148,ASSAY_A,LCMS-02,STUDY-2025-02,2025-06-21T12:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-01,,synthetic:R00148
R00149,ASSAY_B,LCMS-03,STUDY-2025-02,2025-06-21T14:00:00+00:00,sample_analysis,accepted,,COL-0007,240,1.0,ANALYST-02,,synthetic:R00149
R00150,ASSAY_C,LCMS-01,STUDY-2025-02,2025-06-21T16:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-03,,synthetic:R00150
R00151,ASSAY_A,LCMS-03,STUDY-2025-02,2025-06-25T08:00:00+00:00,sample_analysis,accepted,,COL-0007,240,1.0,ANALYST-04,,synthetic:R00151
R00152,ASSAY_B,LCMS-01,STUDY-2025-02,2025-06-25T10:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-01,,synthetic:R00152
R00153,ASSAY_C,LCMS-02,STUDY-2025-02,2025-06-25T12:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-02,,synthetic:R00153
R00154,ASSAY_A,LCMS-01,STUDY-2025-02,2025-06-29T14:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-03,,synthetic:R00154
R00155,ASSAY_B,LCMS-02,STUDY-2025-02,2025-06-29T16:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-04,,synthetic:R00155
R00156,ASSAY_C,LCMS-03,STUDY-2025-02,2025-06-29T08:00:00+00:00,sample_analysis,accepted,,COL-0007,240,1.0,ANALYST-01,,synthetic:R00156
R00157,ASSAY_A,LCMS-02,STUDY-2025-02,2025-07-03T10:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-02,,synthetic:R00157
R00158,ASSAY_B,LCMS-03,STUDY-2025-02,2025-07-03T12:00:00+00:00,sample_analysis,accepted,,COL-0007,240,1.0,ANALYST-03,,synthetic:R00158
R00159,ASSAY_C,LCMS-01,STUDY-2025-02,2025-07-03T14:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-04,,synthetic:R00159
R00160,ASSAY_A,LCMS-03,STUDY-2025-02,2025-07-07T16:00:00+00:00,sample_analysis,accepted,,COL-0007,240,1.0,ANALYST-01,,synthetic:R00160
R00161,ASSAY_B,LCMS-01,STUDY-2025-02,2025-07-07T08:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-02,,synthetic:R00161
R00162,ASSAY_C,LCMS-02,STUDY-2025-02,2025-07-07T10:00:00+00:00,sample_analysis,accepted,,,240,1.0,ANALYST-03,,synthetic:R00162
