calibration_id,run_id,calibration_model,weighting,slope,intercept,r_squared,calibration_status,number_of_calibrators,ingest_id
CAL-R00051,R00051,linear,1/x^2,0.041369,0.000867,0.99884,accepted,8,
CAL-R00052,R00052,linear,1/x^2,0.041131,0.000908,0.9999,accepted,8,
CAL-R00053,R00053,linear,1/x^2,0.041881,0.000367,0.9991,accepted,8,
CAL-R00054,R00054,linear,1/x^2,0.042254,0.000221,0.99912,accepted,8,
CAL-R00055,R00055,linear,1/x^2,0.041847,0.000542,0.9999,accepted,8,
CAL-R00056,R00056,linear,1/x^2,0.041808,0.000588,0.99847,accepted,8,
CAL-R00057,R00057,linear,1/x^2,0.040845,0.000511,0.9999,accepted,8,
CAL-R00058,R00058,linear,1/x^2,0.041981,0.000329,0.99694,accepted,8,
CAL-R00059,R00059,linear,1/x^2,0.040348,0.000349,0.99887,accepted,8,
CAL-R00060,R00060,linear,1/x^2,0.041355,0.000266,0.99722,accepted,8,
CAL-R00061,R00061,linear,1/x^2,0.041242,0.000307,0.99781,accepted,8,
CAL-R00062,R00062,linear,1/x^2,0.040301,0.000507,0.99597,accepted,8,
CAL-R00063,R00063,linear,1/x^2,0.040722,0.000462,0.99691,accepted,8,
CAL-R00064,R00064,linear,1/x^2,0.041457,0.000699,0.99845,accepted,8,
CAL-R00065,R00065,linear,1/x^2,0.041261,0.00031,0.998,accepted,8,
CAL-R00066,R00066,linear,1/x^2,0.040485,0.000425,0.99949,accepted,8,
CAL-R00067,R00067,linear,1/x^2,0.041122,0.000436,0.99901,accepted,8,
CAL-R00068,R00068,linear,1/x^2,0.041286,0.000394,0.99957,accepted,8,
CAL-R00069,R00069,linear,1/x^2,0.042152,0.000463,0.9999,accepted,8,
CAL-R00070,R00070,linear,1/x^2,0.040582,0.000671,0.99807,accepted,8,
CAL-R00071,R00071,linear,1/x^2,0.041061,0.000712,0.9991,accepted,8,
CAL-R00072,R00072,linear,1/x^2,0.040857,0.000628,0.99938,accepted,8,
CAL-R00073,R00073,linear,1/x^2,0.041881,0.00047,0.99867,accepted,8,
CAL-R00074,R00074,linear,1/x^2,0.040384,0.000183,0.99786,accepted,8,
CAL-R00075,R00075,linear,1/x^2,0.041011,0.000953,0.99868,accepted,8,
CAL-R00076,R00076,linear,1/x^2,0.04208,0.000513,0.99891,accepted,8,
CAL-R00077,R00077,linear,1/x^2,0.040811,0.000928,0.99809,accepted,8,
CAL-R00078,R00078,linear,1/x^2,0.041117,0.000666,0.99823,accepted,8,
CAL-R00079,R00079,linear,1/x^2,0.040188,0.000628,0.99979,accepted,8,
CAL-R00080,R00080,linear,1/x^2,0.041345,0.000827,0.9969,accepted,8,
CAL-R00081,R00081,linear,1/x^2,0.04135,0.000643,0.99984,accepted,8,
CAL-R00082,R00082,linear,1/x^2,0.041033,0.000887,0.99834,accepted,8,
CAL-R00083,R00083,linear,1/x^2,0.040339,0.000682,0.9998,accepted,8,
CAL-R00084,R00084,linear,1/x^2,0.041827,0.000575,0.99975,accepted,8,
CAL-R00085,R00085,linear,1/x^2,0.042295,0.000398,0.99682,accepted,8,
CAL-R00086,R00086,linear,1/x^2,0.042361,0.000601,0.99762,accepted,8,
CAL-R00087,R00087,linear,1/x^2,0.040512,0.000617,0.99828,accepted,8,
CAL-R00088,R00088,linear,1/x^2,0.041003,0.000456,0.9999,accepted,8,
CAL-R00089,R00089,linear,1/x^2,0.041404,0.000461,0.99745,accepted,8,
CAL-R00090,R00090,linear,1/x^2,0.041611,0.000706,0.99635,accepted,8,
CAL-R00091,R00091,linear,1/x^2,0.041566,0.000729,0.99725,accepted,8,
CAL-R00092,R00092,linear,1/x^2,0.040887,0.000235,0.99858,accepted,8,
CAL-R00093,R00093,linear,1/x^2,0.041189,0.000592,0.99753,accepted,8,
CAL-R00094,R00094,linear,1/x^2,0.0405,0.00072,0.99911,accepted,8,
CAL-R00095,R00095,linear,1/x^2,0.041783,0.00074,0.99897,accepted,8,
CAL-R00096,R00096,linear,1/x^2,0.041581,0.000476,0.99823,accepted,8,
CAL-R00097,R00097,linear,1/x^2,0.041594,0.000627,0.99868,accepted,8,
CAL-R00098,R00098,linear,1/x^2,0.041462,0.000767,0.99741,accepted,8,
CAL-R00099,R00099,linear,1/x^2,0.041331,5.4e-05,0.99872,accepted,8,
CAL-R00100,R00100,linear,1/x^2,0.040345,0.000608,0.99805,accepted,8,
CAL-R00101,R00101,linear,1/x^2,0.040982,0.000343,0.99905,accepted,8,
CAL-R00102,R00102,linear,1/x^2,0.041541,0.000675,0.99752,accepted,8,
CAL-R00103,R00103,linear,1/x^2,0.041175,0.000381,0.99892,accepted,8,
CAL-R00104,R00104,linear,1/x^2,0.041541,0.000672,0.99794,accepted,8,
CAL-R00105,R00105,linear,1/x^2,0.040492,0.000435,0.99911,accepted,8,
CAL-R00106,R00106,linear,1/x^2,0.040552,0.000566,0.99847,accepted,8,
CAL-R00107,R00107,linear,1/x^2,0.041349,0.00061,0.9999,accepted,8,
CAL-R00108,R00108,linear,1/x^2,0.04043,0.000276,0.9999,accepted,8,
CAL-R00109,R00109,linear,1/x^2,0.040759,0.000774,0.99827,accepted,8,
CAL-R00110,R00110,linear,1/x^2,0.040905,0.000554,0.99826,accepted,8,
CAL-R00111,R00111,linear,1/x^2,0.041299,0.000765,0.99847,accepted,8,
CAL-R00112,R00112,linear,1/x^2,0.041052,0.00071,0.9973,accepted,8,
CAL-R00113,R00113,linear,1/x^2,0.040642,0.000496,0.99836,accepted,8,
CAL-R00114,R00114,linear,1/x^2,0.042539,0.000714,0.99846,accepted,8,
CAL-R00115,R00115,linear,1/x^2,0.041164,0.000837,0.99795,accepted,8,
CAL-R00116,R00116,linear,1/x^2,0.041513,0.000949,0.99861,accepted,8,
CAL-R00117,R00117,linear,1/x^2,0.041242,0.000532,0.99614,accepted,8,
CAL-R00118,R00118,linear,1/x^2,0.04026,0.000487,0.99887,accepted,8,
CAL-R00119,R00119,linear,1/x^2,0.040382,0.00033,0.99889,accepted,8,
CAL-R00120,R00120,linear,1/x^2,0.041363,0.001197,0.99923,accepted,8,
CAL-R00121,R00121,linear,1/x^2,0.041474,0.000419,0.99842,accepted,8,
CAL-R00122,R00122,linear,1/x^2,0.040944,0.00049,0.99805,accepted,8,
CAL-R00123,R00123,linear,1/x^2,0.040671,0.000633,0.99867,accepted,8,
CAL-R00124,R00124,linear,1/x^2,0.040704,0.000313,0.99744,accepted,8,
CAL-R00125,R00125,linear,1/x^2,0.042067,0.000503,0.99773,accepted,8,
CAL-R00126,R00126,linear,1/x^2,0.041343,0.000692,0.99871,accepted,8,
CAL-R00127,R00127,linear,1/x^2,0.041241,0.000125,0.99871,accepted,8,
CAL-R00128,R00128,linear,1/x^2,0.040262,0.000589,0.9978,accepted,8,
CAL-R00129,R00129,linear,1/x^2,0.041703,0.000413,0.99889,accepted,8,
CAL-R00130,R00130,linear,1/x^2,0.041247,0.001059,0.99966,accepted,8,
CAL-R00131,R00131,linear,1/x^2,0.040877,0.000587,0.99876,accepted,8,
CAL-R00132,R00132,linear,1/x^2,0.040886,0.00073,0.99837,accepted,8,
CAL-R00133,R00133,linear,1/x^2,0.041045,0.001022,0.99788,accepted,8,
CAL-R00134,R00134,linear,1/x^2,0.042899,0.000192,0.99943,accepted,8,
CAL-R00135,R00135,linear,1/x^2,0.041032,0.000529,0.9999,accepted,8,
CAL-R00136,R00136,linear,1/x^2,0.042266,0.000394,0.99531,accepted,8,
CAL-R00137,R00137,linear,1/x^2,0.040698,0.000736,0.9991,accepted,8,
CAL-R00138,R00138,linear,1/x^2,0.041712,0.000508,0.99713,accepted,8,
CAL-R00139,R00139,linear,1/x^2,0.040963,0.000393,0.9976,accepted,8,
CAL-R00140,R00140,linear,1/x^2,0.040701,0.000799,0.99686,accepted,8,
CAL-R00141,R00141,linear,1/x^2,0.040573,0.000241,0.99852,accepted,8,
CAL-R00142,R00142,linear,1/x^2,0.040701,0.000415,0.99763,accepted,8,
CAL-R00143,R00143,linear,1/x^2,0.040669,0.000299,0.99909,accepted,8,
CAL-R00144,R00144,linear,1/x^2,0.042294,0.000614,0.99886,accepted,8,
CAL-R00145,R00145,linear,1/x^2,0.040758,0.000584,0.9981,accepted,8,
CAL-R00146,R00146,linear,1/x^2,0.041078,0.000528,0.99849,accepted,8,
CAL-R00147,R00147,linear,1/x^2,0.041443,0.000708,0.99579,accepted,8,
CAL-R00148,R00148,linear,1/x^2,0.041,0.000698,0.9982,accepted,8,
CAL-R00149,R00149,linear,1/x^2,0.041698,0.000416,0.99895,accepted,8,
CAL-R00150,R00150,linear,1/x^2,0.041508,0.000975,0.99876,accepted,8,
CAL-R00151,R00151,linear,1/x^2,0.041233,0.000561,0.99735,accepted,8,
CAL-R00152,R00152,linear,1/x^2,0.04133,0.000729,0.99865,accepted,8,
CAL-R00153,R00153,linear,1/x^2,0.041645,0.000583,0.99909,accepted,8,
CAL-R00154,R00154,linear,1/x^2,0.0418,0.000899,0.99885,accepted,8,
CAL-R00155,R00155,linear,1/x^2,0.041037,0.00045,0.9995,accepted,8,
CAL-R00156,R00156,linear,1/x^2,0.042072,0.000475,0.99839,accepted,8,
CAL-R00157,R00157,linear,1/x^2,0.04052,0.000837,0.9993,accepted,8,
CAL-R00158,R00158,linear,1/x^2,0.04111,0.000171,0.99655,accepted,8,
CAL-R00159,R00159,linear,1/x^2,0.041744,0.00072,0.99899,accepted,8,
CAL-R00160,R00160,linear,1/x^2,0.04146,0.000497,0.99886,accepted,8,
CAL-R00161,R00161,linear,1/x^2,0.040916,0.000335,0.9999,accepted,8,
CAL-R00162,R00162,linear,1/x^2,0.040958,0.00087,0.99937,accepted,8,
CAL-R00163,R00163,linear,1/x^2,0.039629,0.000298,0.99956,accepted,8,
CAL-R00164,R00164,linear,1/x^2,0.040994,0.000207,0.99846,accepted,8,
CAL-R00165,R00165,linear,1/x^2,0.041316,0.000547,0.99763,accepted,8,
CAL-R00166,R00166,linear,1/x^2,0.041098,0.000545,0.99927,accepted,8,
CAL-R00167,R00167,linear,1/x^2,0.041696,0.000369,0.99777,accepted,8,
CAL-R00168,R00168,linear,1/x^2,0.041134,0.000405,0.999,accepted,8,
CAL-R00169,R00169,linear,1/x^2,0.040157,0.000744,0.99744,accepted,8,
CAL-R00170,R00170,linear,1/x^2,0.041058,0.000812,0.99855,accepted,8,
CAL-R00171,R00171,linear,1/x^2,0.040833,0.000185,0.99954,accepted,8,
CAL-R00172,R00172,linear,1/x^2,0.041216,0.000626,0.99753,accepted,8,
CAL-R00173,R00173,linear,1/x^2,0.041173,0.00042,0.99658,accepted,8,
CAL-R00174,R00174,linear,1/x^2,0.040448,0.000546,0.99665,accepted,8,
CAL-R00175,R00175,linear,1/x^2,0.041462,0.000434,0.99888,accepted,8,
CAL-R00176,R00176,linear,1/x^2,0.041428,0.000441,0.99804,accepted,8,
CAL-R00177,R00177,linear,1/x^2,0.041024,0.000396,0.99855,accepted,8,
CAL-R00178,R00178,linear,1/x^2,0.040922,0.000397,0.99889,accepted,8,
CAL-R00179,R00179,linear,1/x^2,0.041107,0.000541,0.99804,accepted,8,
CAL-R00180,R00180,linear,1/x^2,0.041579,0.000747,0.99755,accepted,8,
CAL-R00181,R00181,linear,1/x^2,0.040469,0.000214,0.9999,accepted,8,
CAL-R00182,R00182,linear,1/x^2,0.040231,0.000411,0.99958,accepted,8,
CAL-R00183,R00183,linear,1/x^2,0.040842,0.000621,0.99826,accepted,8,
CAL-R00184,R00184,linear,1/x^2,0.041067,0.000797,0.99852,accepted,8,
CAL-R00185,R00185,linear,1/x^2,0.04079,0.000681,0.99934,accepted,8,
CAL-R00186,R00186,linear,1/x^2,0.041664,0.000621,0.99908,accepted,8,
CAL-R00187,R00187,linear,1/x^2,0.041799,0.000478,0.99927,accepted,8,
CAL-R00188,R00188,linear,1/x^2,0.041762,0.000533,0.99815,accepted,8,
CAL-R00189,R00189,linear,1/x^2,0.041857,0.000792,0.9999,accepted,8,
CAL-R00190,R00190,linear,1/x^2,0.04129,0.000567,0.99737,accepted,8,
CAL-R00191,R00191,linear,1/x^2,0.040448,0.000518,0.99783,accepted,8,
CAL-R00192,R00192,linear,1/x^2,0.042599,0.000611,0.99743,accepted,8,
CAL-R00193,R00193,linear,1/x^2,0.041551,0.000463,0.99883,accepted,8,
CAL-R00194,R00194,linear,1/x^2,0.04126,0.000611,0.99933,accepted,8,
CAL-R00195,R00195,linear,1/x^2,0.041483,0.000622,0.99886,accepted,8,
CAL-R00196,R00196,linear,1/x^2,0.041042,0.000568,0.99786,accepted,8,
CAL-R00197,R00197,linear,1/x^2,0.04175,0.000547,0.99908,accepted,8,
CAL-R00198,R00198,linear,1/x^2,0.042672,0.000476,0.99869,accepted,8,
CAL-R00199,R00199,linear,1/x^2,0.040736,0.000665,0.99918,accepted,8,
CAL-R00200,R00200,linear,1/x^2,0.040919,0.00069,0.99867,accepted,8,
CAL-R00201,R00201,linear,1/x^2,0.041704,0.000718,0.99935,accepted,8,
CAL-R00202,R00202,linear,1/x^2,0.041378,0.000503,0.99773,accepted,8,
CAL-R00203,R00203,linear,1/x^2,0.040531,0.000536,0.99919,accepted,8,
CAL-R00204,R00204,linear,1/x^2,0.041676,0.00053,0.9999,accepted,8,
CAL-R00205,R00205,linear,1/x^2,0.041447,0.000804,0.9986,accepted,8,
CAL-R00206,R00206,linear,1/x^2,0.040582,0.000255,0.99863,accepted,8,
CAL-R00207,R00207,linear,1/x^2,0.042076,0.000566,0.99858,accepted,8,
CAL-R00208,R00208,linear,1/x^2,0.041516,0.000431,0.9991,accepted,8,
CAL-R00209,R00209,linear,1/x^2,0.040415,0.000559,0.99958,accepted,8,
CAL-R00210,R00210,linear,1/x^2,0.041359,0.000827,0.99753,accepted,8,
CAL-R00211,R00211,linear,1/x^2,0.041408,0.000536,0.99917,accepted,8,
CAL-R00212,R00212,linear,1/x^2,0.041833,0.000405,0.99777,accepted,8,
CAL-R00213,R00213,linear,1/x^2,0.042579,0.000723,0.99739,accepted,8,
CAL-R00214,R00214,linear,1/x^2,0.041045,0.000374,0.99767,accepted,8,
CAL-R00215,R00215,linear,1/x^2,0.041957,0.000606,0.99845,accepted,8,
CAL-R00216,R00216,linear,1/x^2,0.041643,0.000477,0.99901,accepted,8,
CAL-R00217,R00217,linear,1/x^2,0.040865,0.00074,0.99868,accepted,8,
CAL-R00218,R00218,linear,1/x^2,0.040974,0.000452,0.99939,accepted,8,
CAL-R00219,R00219,linear,1/x^2,0.041073,0.000879,0.99882,accepted,8,
CAL-R00220,R00220,linear,1/x^2,0.041458,0.00037,0.99889,accepted,8,
CAL-R00221,R00221,linear,1/x^2,0.040657,0.000246,0.99816,accepted,8,
CAL-R00222,R00222,linear,1/x^2,0.041603,0.00067,0.99957,accepted,8,
CAL-R00223,R00223,linear,1/x^2,0.040853,0.000609,0.99844,accepted,8,
CAL-R00224,R00224,linear,1/x^2,0.041268,0.000842,0.99716,accepted,8,
CAL-R00225,R00225,linear,1/x^2,0.041918,0.000468,0.99676,accepted,8,
CAL-R00226,R00226,linear,1/x^2,0.041125,0.000492,0.99743,accepted,8,
CAL-R00227,R00227,linear,1/x^2,0.040253,0.000707,0.99812,accepted,8,
CAL-R00228,R00228,linear,1/x^2,0.041994,0.000429,0.9999,accepted,8,
CAL-R00229,R00229,linear,1/x^2,0.040892,0.000639,0.99844,accepted,8,
CAL-R00230,R00230,linear,1/x^2,0.042305,0.000542,0.9973,accepted,8,
CAL-R00231,R00231,linear,1/x^2,0.042024,0.000669,0.9985,accepted,8,
CAL-R00232,R00232,linear,1/x^2,0.04136,0.000779,0.99827,accepted,8,
CAL-R00233,R00233,linear,1/x^2,0.040899,0.000643,0.99849,accepted,8,
CAL-R00234,R00234,linear,1/x^2,0.042204,0.000566,0.99898,accepted,8,
CAL-R00235,R00235,linear,1/x^2,0.040925,0.000669,0.9999,accepted,8,
CAL-R00236,R00236,linear,1/x^2,0.041091,0.000573,0.99937,accepted,8,
CAL-R00237,R00237,linear,1/x^2,0.041367,0.000606,0.99766,accepted,8,
CAL-R00238,R00238,linear,1/x^2,0.041225,0.000727,0.9999,accepted,8,
CAL-R00239,R00239,linear,1/x^2,0.041743,0.000364,0.99923,accepted,8,
CAL-R00240,R00240,linear,1/x^2,0.042481,0.00096,0.99764,accepted,8,
CAL-R00241,R00241,linear,1/x^2,0.040915,0.000527,0.99844,accepted,8,
CAL-R00242,R00242,linear,1/x^2,0.040986,0.000614,0.99893,accepted,8,
CAL-R00243,R00243,linear,1/x^2,0.0416,0.000871,0.99824,accepted,8,
CAL-R00244,R00244,linear,1/x^2,0.040158,0.000561,0.99804,accepted,8,
CAL-R00245,R00245,linear,1/x^2,0.040819,0.000834,0.99756,accepted,8,
CAL-R00246,R00246,linear,1/x^2,0.041234,0.000712,0.99924,accepted,8,
CAL-R00247,R00247,linear,1/x^2,0.040773,0.00065,0.99914,accepted,8,
CAL-R00248,R00248,linear,1/x^2,0.041458,0.000337,0.99773,accepted,8,
CAL-R00249,R00249,linear,1/x^2,0.041777,0.000566,0.99756,accepted,8,
CAL-R00250,R00250,linear,1/x^2,0.041396,0.000297,0.99779,accepted,8,
CAL-R00251,R00251,linear,1/x^2,0.041459,0.000401,0.9999,accepted,8,
CAL-R00252,R00252,linear,1/x^2,0.042811,0.000584,0.9999,accepted,8,
CAL-R00253,R00253,linear,1/x^2,0.040908,0.000425,0.99918,accepted,8,
CAL-R00254,R00254,linear,1/x^2,0.040256,0.000678,0.99774,accepted,8,
CAL-R00255,R00255,linear,1/x^2,0.041968,0.000468,0.9999,accepted,8,
CAL-R00256,R00256,linear,1/x^2,0.040875,0.000511,0.99877,accepted,8,
CAL-R00257,R00257,linear,1/x^2,0.041266,0.000907,0.9999,accepted,8,
CAL-R00258,R00258,linear,1/x^2,0.042035,0.000841,0.99773,accepted,8,
CAL-R00259,R00259,linear,1/x^2,0.040938,0.000382,0.99821,accepted,8,
CAL-R00260,R00260,linear,1/x^2,0.041687,0.000807,0.99918,accepted,8,
CAL-R00261,R00261,linear,1/x^2,0.042339,0.000606,0.9989,accepted,8,
CAL-R00262,R00262,linear,1/x^2,0.041094,0.000585,0.99842,accepted,8,
CAL-R00263,R00263,linear,1/x^2,0.040313,0.000963,0.99832,accepted,8,
CAL-R00264,R00264,linear,1/x^2,0.041821,0.000705,0.9984,accepted,8,
CAL-R00265,R00265,linear,1/x^2,0.041435,0.000506,0.9999,accepted,8,
CAL-R00266,R00266,linear,1/x^2,0.041307,0.000446,0.99741,accepted,8,
CAL-R00267,R00267,linear,1/x^2,0.041635,0.000743,0.99738,accepted,8,
CAL-R00268,R00268,linear,1/x^2,0.041552,0.000772,0.99884,accepted,8,
CAL-R00269,R00269,linear,1/x^2,0.040731,0.000627,0.9999,accepted,8,
CAL-R00270,R00270,linear,1/x^2,0.041389,0.000672,0.99935,accepted,8,
CAL-R00271,R00271,linear,1/x^2,0.041669,0.000811,0.99976,accepted,8,
CAL-R00272,R00272,linear,1/x^2,0.039807,0.000492,0.99766,accepted,8,
CAL-R00273,R00273,linear,1/x^2,0.041166,0.000618,0.99834,accepted,8,
CAL-R00274,R00274,linear,1/x^2,0.042379,0.000304,0.99924,accepted,8,
CAL-R00275,R00275,linear,1/x^2,0.041461,0.000736,0.99937,accepted,8,
CAL-R00276,R00276,linear,1/x^2,0.042072,0.000384,0.99737,accepted,8,
CAL-R00277,R00277,linear,1/x^2,0.041018,0.000504,0.9999,accepted,8,
CAL-R00278,R00278,linear,1/x^2,0.041498,0.00028,0.99901,accepted,8,
CAL-R00279,R00279,linear,1/x^2,0.042433,0.00077,0.99939,accepted,8,
CAL-R00280,R00280,linear,1/x^2,0.040874,0.00047,0.9999,accepted,8,
CAL-R00281,R00281,linear,1/x^2,0.040263,0.000683,0.99792,accepted,8,
CAL-R00282,R00282,linear,1/x^2,0.041822,0.000847,0.99756,accepted,8,
CAL-R00283,R00283,linear,1/x^2,0.041638,0.000434,0.99819,accepted,8,
CAL-R00284,R00284,linear,1/x^2,0.040809,0.000734,0.99872,accepted,8,
CAL-R00285,R00285,linear,1/x^2,0.041671,0.000388,0.99866,accepted,8,
CAL-R00286,R00286,linear,1/x^2,0.041416,0.00046,0.99826,accepted,8,
CAL-R00287,R00287,linear,1/x^2,0.040963,0.00094,0.99842,accepted,8,
CAL-R00288,R00288,linear,1/x^2,0.04222,0.000885,0.99778,accepted,8,
CAL-R00289,R00289,linear,1/x^2,0.041023,0.000529,0.99905,accepted,8,
CAL-R00290,R00290,linear,1/x^2,0.040472,0.000409,0.99761,accepted,8,
CAL-R00291,R00291,linear,1/x^2,0.041968,0.000735,0.99798,accepted,8,
CAL-R00292,R00292,linear,1/x^2,0.041486,0.000633,0.9993,accepted,8,
CAL-R00293,R00293,linear,1/x^2,0.041797,0.000644,0.99921,accepted,8,
CAL-R00294,R00294,linear,1/x^2,0.042253,0.000462,0.99939,accepted,8,
CAL-R00295,R00295,linear,1/x^2,0.040894,0.000647,0.9974,accepted,8,
CAL-R00296,R00296,linear,1/x^2,0.041325,0.000508,0.99837,accepted,8,
CAL-R00297,R00297,linear,1/x^2,0.041691,0.000624,0.99798,accepted,8,
CAL-R00298,R00298,linear,1/x^2,0.041658,0.000639,0.9975,accepted,8,
CAL-R00299,R00299,linear,1/x^2,0.040186,0.000653,0.99916,accepted,8,
CAL-R00300,R00300,linear,1/x^2,0.042383,0.000897,0.99838,accepted,8,
CAL-R00301,R00301,linear,1/x^2,0.041687,0.00074,0.99843,accepted,8,
CAL-R00302,R00302,linear,1/x^2,0.041107,0.000684,0.99802,accepted,8,
CAL-R00303,R00303,linear,1/x^2,0.043167,0.000832,0.99809,accepted,8,
CAL-R00304,R00304,linear,1/x^2,0.041184,0.000392,0.9999,accepted,8,
CAL-R00305,R00305,linear,1/x^2,0.041032,0.000717,0.99835,accepted,8,
CAL-R00306,R00306,linear,1/x^2,0.042525,0.000506,0.99832,accepted,8,
CAL-R00307,R00307,linear,1/x^2,0.040441,0.000874,0.99846,accepted,8,
CAL-R00308,R00308,linear,1/x^2,0.039819,0.00049,0.99806,accepted,8,
CAL-R00309,R00309,linear,1/x^2,0.042089,0.000784,0.99888,accepted,8,
CAL-R00310,R00310,linear,1/x^2,0.0409,0.000436,0.99784,accepted,8,
CAL-R00311,R00311,linear,1/x^2,0.041253,0.000735,0.99637,accepted,8,
CAL-R00312,R00312,linear,1/x^2,0.041766,0.000946,0.99835,accepted,8,
CAL-R00313,R00313,linear,1/x^2,0.041177,0.000949,0.99687,accepted,8,
CAL-R00314,R00314,linear,1/x^2,0.040792,0.00057,0.99756,accepted,8,
CAL-R00315,R00315,linear,1/x^2,0.042028,0.000884,0.99909,accepted,8,
CAL-R00316,R00316,linear,1/x^2,0.041061,0.000633,0.99774,accepted,8,
CAL-R00317,R00317,linear,1/x^2,0.039664,0.000787,0.99645,accepted,8,
CAL-R00318,R00318,linear,1/x^2,0.041847,0.000567,0.9999,accepted,8,
CAL-R00319,R00319,linear,1/x^2,0.041377,0.000448,0.99892,accepted,8,
CAL-R00320,R00320,linear,1/x^2,0.040969,0.000534,0.9999,accepted,8,
CAL-R00321,R00321,linear,1/x^2,0.041224,0.000414,0.99837,accepted,8,
CAL-R00322,R00322,linear,1/x^2,0.04195,0.000807,0.99907,accepted,8,
CAL-R00323,R00323,linear,1/x^2,0.041137,0.000711,0.99899,accepted,8,
