batch_id,moisture_percent,purity_percent,yield_percent,residual_naoh_ppm,color_index
MS155,11.598,96.079,82.42,175.976,2.085
MS156,10.893,98.012,81.248,167.859,1.408
MS157,11.839,97.261,81.731,118.069,1.547
MS158,15.063,97.572,76.001,134.62,1.042
MS159,11.854,86.0,75.82,519.827,1.661
MS160,20.986,97.27,80.262,116.097,1.338
MS161,13.662,86.0,72.402,283.695,3.225
MS162,11.581,97.365,77.991,164.271,1.152
MS163,12.742,96.754,79.909,155.941,1.842
MS164,17.173,97.188,79.436,126.066,1.566
MS165,12.036,94.794,81.004,193.464,1.507
MS166,11.656,94.993,79.35,134.237,1.663
MS167,15.418,97.662,80.144,209.908,1.793
MS168,15.262,98.732,81.496,128.011,2.03
MS169,19.218,90.584,74.678,242.746,2.563
MS170,12.289,99.344,82.864,136.17,1.686
MS171,12.323,86.0,75.35,294.934,2.645
MS172,14.87,96.403,81.896,85.084,1.63
MS173,13.423,98.188,79.515,173.318,1.386
MS174,10.952,86.0,73.105,540.563,2.1
MS175,13.073,94.639,79.016,112.976,1.957
MS176,17.246,93.151,79.364,253.545,1.503
MS177,11.113,98.145,80.14,178.945,1.816
MS178,15.562,90.109,75.177,328.429,1.643
MS179,11.426,99.254,79.733,114.827,0.964
MS180,13.631,86.0,70.037,576.203,2.329
