Batch Identifier,Test Name,Result,Result Date
 mb023 ,yield_percent,72.79 %,2026-02-23
 mb023 ,moisture_percent,15.88 %,2026-02-23
 mb023 ,color_index,1.644,2026-02-23
MB024,yield_percent,77.84 %,2026-02-24
MB024,moisture_percent,13.07 %,2026-02-24
MB024,color_index,1.521,2026-02-24
MB-025,yield_percent,"79,04 %",2026-02-25
MB-025,moisture_percent,"16,16 %",2026-02-25
MB-025,color_index,"1,486",2026-02-25
MB026,yield_percent,81.64 %,2026-02-26
MB026,moisture_percent,12.73 %,2026-02-26
MB026,color_index,1.621,2026-02-26
MB027,yield_percent,81.51 %,2026-02-27
MB027,moisture_percent,12.11 %,2026-02-27
MB027,color_index,1.452,2026-02-27
MB028,yield_percent,83.69 %,2026-02-01
MB028,moisture_percent,14.11 %,2026-02-01
MB028,color_index,1.611,2026-02-01
MB029,yield_percent,"82,84 %",2026-02-02
MB029,moisture_percent,"10,40 %",2026-02-02
MB029,color_index,"1,668",2026-02-02
MB030,yield_percent,79.68 %,2026-02-03
MB030,moisture_percent,10.75 %,2026-02-03
MB030,color_index,1.584,2026-02-03
MB-031,yield_percent,52.77 %,2026-02-04
MB-031,moisture_percent,10.40 %,2026-02-04
MB-031,color_index,1.745,2026-02-04
MB032,yield_percent,80.16 %,2026-02-05
MB032,moisture_percent,11.21 %,2026-02-05
MB032,color_index,1.631,2026-02-05
MB033,yield_percent,"79,63 %",2026-02-06
MB033,moisture_percent,"14,02 %",2026-02-06
MB033,color_index,"1,555",2026-02-06
 mb034 ,yield_percent,74.47 %,2026-02-07
 mb034 ,moisture_percent,12.52 %,2026-02-07
 mb034 ,color_index,1.746,2026-02-07
MB035,yield_percent,78.12 %,2026-02-08
MB035,moisture_percent,13.27 %,2026-02-08
MB035,color_index,1.346,2026-02-08
MB036,yield_percent,73.54 %,2026-02-09
MB036,moisture_percent,10.59 %,2026-02-09
MB036,color_index,1.598,2026-02-09
MB-037,yield_percent,"82,67 %",2026-02-10
MB-037,moisture_percent,<10 %,2026-02-10
MB-037,color_index,"1,297",2026-02-10
MB038,yield_percent,73.01 %,2026-02-11
MB038,moisture_percent,16.31 %,2026-02-11
MB038,color_index,1.458,2026-02-11
MB039,yield_percent,75.60 %,2026-02-12
MB039,moisture_percent,11.53 %,2026-02-12
MB039,color_index,1.799,2026-02-12
MB040,yield_percent,77.55 %,2026-02-13
MB040,moisture_percent,12.46 %,2026-02-13
MB040,color_index,1.679,2026-02-13
MB041,yield_percent,"80,58 %",2026-02-14
MB041,moisture_percent,"12,70 %",2026-02-14
MB041,color_index,"1,498",2026-02-14
MB042,yield_percent,81.64 %,2026-02-15
MB042,moisture_percent,15.80 %,2026-02-15
MB042,color_index,1.376,2026-02-15
MB-043,yield_percent,76.86 %,2026-02-16
MB-043,moisture_percent,12.76 %,2026-02-16
MB-043,color_index,1.257,2026-02-16
MB044,yield_percent,82.81 %,2026-02-17
MB044,moisture_percent,12.23 %,2026-02-17
MB044,color_index,1.447,2026-02-17
 mb045 ,yield_percent,"80,11 %",2026-02-18
 mb045 ,moisture_percent,"12,53 %",2026-02-18
 mb045 ,color_index,"1,794",2026-02-18
MB046,yield_percent,81.87 %,2026-02-19
MB046,moisture_percent,12.07 %,2026-02-19
MB046,color_index,1.563,2026-02-19
MB047,yield_percent,76.43 %,2026-02-20
MB047,moisture_percent,12.71 %,2026-02-20
MB047,color_index,1.535,2026-02-20
MB048,yield_percent,81.33 %,2026-02-21
MB048,moisture_percent,12.20 %,2026-02-21
MB048,color_index,1.567,2026-02-21
MB-049,yield_percent,"81,56 %",2026-02-22
MB-049,moisture_percent,"14,12 %",2026-02-22
MB-049,color_index,"1,388",2026-02-22
MB050,yield_percent,82.72 %,2026-02-23
MB050,moisture_percent,12.07 %,2026-02-23
MB050,color_index,1.475,2026-02-23
MB051,yield_percent,80.99 %,2026-02-24
MB051,moisture_percent,12.52 %,2026-02-24
MB051,color_index,1.532,2026-02-24
MB052,yield_percent,78.91 %,2026-02-25
MB052,moisture_percent,11.73 %,2026-02-25
MB052,color_index,1.558,2026-02-25
MB053,yield_percent,"61,97 %",2026-02-26
MB053,moisture_percent,"11,88 %",2026-02-26
MB053,color_index,"1,819",2026-02-26
MB054,yield_percent,78.86 %,2026-02-27
MB054,moisture_percent,12.83 %,2026-02-27
MB054,color_index,1.606,2026-02-27
MB-055,yield_percent,78.25 %,2026-02-01
MB-055,moisture_percent,10.01 %,2026-02-01
MB-055,color_index,1.666,2026-02-01
 mb056 ,yield_percent,77.58 %,2026-02-02
 mb056 ,moisture_percent,12.70 %,2026-02-02
 mb056 ,color_index,1.527,2026-02-02
MB057,yield_percent,"79,82 %",2026-02-03
MB057,moisture_percent,"10,52 %",2026-02-03
MB057,color_index,"1,666",2026-02-03
MB058,yield_percent,66.20 %,2026-02-04
MB058,moisture_percent,10.93 %,2026-02-04
MB058,color_index,1.885,2026-02-04
MB059,yield_percent,71.27 %,2026-02-05
MB059,moisture_percent,11.32 %,2026-02-05
MB059,color_index,1.525,2026-02-05
MB060,yield_percent,77.02 %,2026-02-06
MB060,moisture_percent,15.53 %,2026-02-06
MB060,color_index,1.509,2026-02-06
MB-061,yield_percent,"55,95 %",2026-02-07
MB-061,moisture_percent,"11,72 %",2026-02-07
MB-061,color_index,"1,916",2026-02-07
MB062,yield_percent,80.71 %,2026-02-08
MB062,moisture_percent,12.20 %,2026-02-08
MB062,color_index,1.544,2026-02-08
MB063,yield_percent,83.94 %,2026-02-09
MB063,moisture_percent,16.27 %,2026-02-09
MB063,color_index,1.671,2026-02-09
MB064,yield_percent,77.98 %,2026-02-10
MB064,moisture_percent,14.59 %,2026-02-10
MB064,color_index,1.509,2026-02-10
MB065,yield_percent,"78,76 %",2026-02-11
MB065,moisture_percent,"11,93 %",2026-02-11
MB065,color_index,"1,754",2026-02-11
MB066,yield_percent,79.39 %,2026-02-12
MB066,moisture_percent,13.35 %,2026-02-12
MB066,color_index,1.607,2026-02-12
MB-067,yield_percent,78.21 %,2026-02-13
MB-067,moisture_percent,12.09 %,2026-02-13
MB-067,color_index,1.600,2026-02-13
MB068,yield_percent,80.90 %,2026-02-14
MB068,moisture_percent,11.16 %,2026-02-14
MB068,color_index,1.772,2026-02-14
MB069,yield_percent,"76,23 %",2026-02-15
MB069,moisture_percent,"11,41 %",2026-02-15
MB069,color_index,"1,557",2026-02-15
MB070,yield_percent,82.14 %,2026-02-16
MB070,moisture_percent,11.68 %,2026-02-16
MB070,color_index,1.434,2026-02-16
MB071,yield_percent,63.34 %,2026-02-17
MB071,moisture_percent,17.07 %,2026-02-17
MB071,color_index,1.645,2026-02-17
MB072,yield_percent,70.21 %,2026-02-18
MB072,moisture_percent,11.64 %,2026-02-18
MB072,color_index,1.733,2026-02-18
MB010,yield_percent,"80,4",2026-03-02
